orf,gene,ThisStudy,Li2019,Dokladal2021,Baro2018,Plank_Cdc55AID,n_published
YAL053W,NA,0,0,0,1,0,1
YAR007C,NA,0,0,0,1,0,1
YAR014C,BUD14,0,0,0,1,0,1
YAR042W,SWH1,0,0,0,1,0,1
YBL006C,LDB7,0,0,0,1,0,1
YBL007C,NA,0,0,0,0,1,1
YBL011W,NA,0,0,0,1,0,1
YBL024W,NCL1,0,1,0,0,0,1
YBL034C,STU1,0,0,1,0,0,1
YBL043W,ECM13,0,0,0,1,0,1
YBL046W,NA,0,0,0,0,1,1
YBL051C,PIN4,0,0,0,1,0,1
YBL054W,NA,0,0,0,0,1,1
YBL061C,NA,0,0,0,0,1,1
YBL067C,UBP13,0,0,1,0,0,1
YBL076C,NA,0,0,0,0,1,1
YBR007C,DSF2,0,0,0,1,0,1
YBR011C,IPP1,0,0,0,1,0,1
YBR029C,CDS1,0,0,1,0,0,1
YBR049C,REB1,0,0,0,1,0,1
YBR068C,BAP2,0,0,0,1,0,1
YBR083W,TEC1,0,0,0,1,0,1
YBR086C,IST2,0,0,0,1,0,1
YBR103W,NA,0,0,0,1,0,1
YBR108W,NA,0,0,0,0,1,1
YBR109C,CMD1,0,0,0,1,0,1
YBR112C,CYC8,0,0,0,1,0,1
YBR114W,RAD16,0,0,0,1,0,1
YBR157C,ICS2,0,0,1,0,0,1
YBR160W,NA,0,0,0,1,0,1
YBR172C,SMY2,0,0,0,1,0,1
YBR189W,NA,0,0,0,1,0,1
YBR197C,YBR197C,0,0,0,1,0,1
YBR198C,TAF5,0,0,0,1,0,1
YBR207W,NA,0,0,0,1,0,1
YBR215W,HPC2,0,0,0,1,0,1
YBR225W,YBR225W,0,0,0,1,0,1
YBR249C,NA,0,0,0,0,1,1
YBR279W,PAF1,0,0,0,1,0,1
YCL005W,NA,0,0,0,0,1,1
YCL012C,YCL012C,0,0,0,1,0,1
YCL032W,STE50,0,0,0,1,0,1
YCL037C,NA,0,0,0,1,0,1
YCL040W,GLK1,0,0,0,1,0,1
YCR012W,PGK1,0,0,0,1,0,1
YCR034W,NA,0,0,0,1,0,1
YCR037C,PHO87,0,0,0,1,0,1
YCR066W,NA,0,0,0,1,0,1
YCR077C,NA,0,0,0,1,0,1
YCR084C,TUP1,0,0,0,1,0,1
YDL019C,NA,0,0,0,1,0,1
YDL022W,NA,0,0,0,1,0,1
YDL025C,RTK1,0,0,0,1,0,1
YDL035C,GPR1,0,0,0,1,0,1
YDL048C,STP4,0,0,0,1,0,1
YDL053C,PBP4,0,0,0,1,0,1
YDL056W,MBP1,0,0,0,1,0,1
YDL088C,ASM4,0,0,0,1,0,1
YDL110C,TMA17,0,0,0,1,0,1
YDL121C,YDL121C,0,0,0,1,0,1
YDL130W,NA,0,0,0,0,1,1
YDL131W,NA,0,0,0,0,1,1
YDL133W,NA,0,0,0,1,0,1
YDL150W,NA,0,0,0,1,0,1
YDL153C,SAS10,0,0,0,1,0,1
YDL161W,ENT1,0,0,0,1,0,1
YDL167C,NA,0,0,0,0,1,1
YDL173W,PAR32,0,0,0,1,0,1
YDL189W,RBS1,0,0,1,0,0,1
YDL203C,NA,0,0,0,0,1,1
YDL215C,NA,0,0,0,1,0,1
YDL220C,CDC13,0,0,0,1,0,1
YDL223C,HBT1,0,0,0,1,0,1
YDL224C,NA,0,0,0,1,0,1
YDL225W,SHS1,0,0,0,1,0,1
YDL231C,NA,0,0,0,1,0,1
YDR001C,NA,0,0,0,0,1,1
YDR002W,YRB1,0,0,0,1,0,1
YDR003W,RCR2,0,0,0,1,0,1
YDR017C,KCS1,0,0,0,1,0,1
YDR027C,VPS54,0,0,0,1,0,1
YDR028C,REG1,0,0,0,1,0,1
YDR033W,MRH1,0,0,0,1,0,1
YDR040C,ENA1,0,0,0,1,0,1
YDR060W,MAK21,0,1,0,0,0,1
YDR080W,NA,0,0,0,0,1,1
YDR083W,NA,0,0,0,1,0,1
YDR089W,YDR089W,0,0,0,1,0,1
YDR103W,STE5,0,0,0,1,0,1
YDR128W,MTC5,0,0,0,1,0,1
YDR135C,NA,0,0,0,1,0,1
YDR137W,NA,0,0,0,1,0,1
YDR145W,TAF12,0,0,0,1,0,1
YDR146C,SWI5,0,0,0,1,0,1
YDR150W,NA,0,0,0,1,0,1
YDR153C,NA,0,0,0,1,0,1
YDR159W,SAC3,0,0,0,1,0,1
YDR162C,NBP2,0,0,0,1,0,1
YDR165W,TRM82,0,1,0,0,0,1
YDR173C,ARG82,0,0,0,1,0,1
YDR186C,SND1,0,0,0,1,0,1
YDR201W,NA,0,0,0,1,0,1
YDR207C,UME6,0,0,0,1,0,1
YDR208W,MSS4,0,0,0,1,0,1
