Gene names,ORF,genotype,nutrient,samplingTime,replicate,intensity,normalized_intensity
AAT2,AATC,rim15KO,C,T16,R3,1818700001,2370108930
AAT2,AATC,WT,C,T16,R3,678130001,890205995.8
AAT2,AATC,spike-in,C,T30,R1,1214200001,1105398948
AAT2,AATC,rim15KO,C,T30,R1,1482900001,2583456631
AAT2,AATC,WT,C,T30,R1,330020001,843803285.7
AAT2,AATC,spike-in,C,T30,R3,1196600001,1002356628
AAT2,AATC,rim15KO,C,T30,R3,1121200001,2241117327
AAT2,AATC,WT,C,T30,R3,394460001,681072722.6
AAT2,AATC,spike-in,P,T06,R1,1008300001,814897416.5
AAT2,AATC,rim15KO,P,T06,R1,1374200001,1157715606
AAT2,AATC,WT,P,T06,R1,1002700001,1014802755
AAT2,AATC,spike-in,P,T06,R3,1072600001,1033016575
AAT2,AATC,rim15KO,P,T06,R3,1036800001,1151500737
AAT2,AATC,WT,P,T06,R3,857530001,874909042.4
AAT2,AATC,spike-in,P,T16,R1,1283400001,896529290.5
AAT2,AATC,rim15KO,P,T16,R1,987670001,1313125914
AAT2,AATC,WT,P,T16,R1,732070001,1169257791
AAT2,AATC,spike-in,P,T16,R3,1499200001,875823282.9
AAT2,AATC,rim15KO,P,T16,R3,919520001,1234795655
AAT2,AATC,WT,P,T16,R3,714820001,835098959.5
AAT2,AATC,spike-in,P,T30,R1,1287500001,816683778.5
AAT2,AATC,rim15KO,P,T30,R1,667500001,982251106
AAT2,AATC,WT,P,T30,R1,315500001,632327315.3
AAT2,AATC,spike-in,P,T30,R3,1122000001,815454889.6
AAT2,AATC,rim15KO,P,T30,R3,337730001,792258554.1
AAT2,AATC,WT,P,T30,R3,255290001,494431602.3
AAT2,AATC,spike-in,P,T00,R1,2121600001,849299803.8
AAT2,AATC,rim15KO,P,T00,R1,1691500001,770775681.5
AAT2,AATC,WT,P,T00,R1,2388200001,856760478.7
AAT2,AATC,spike-in,P,T00,R3,3015100001,790674013.7
AAT2,AATC,rim15KO,P,T00,R3,2621500001,801550837
AAT2,AATC,WT,P,T00,R3,3270500001,727504777.4
ABD1,MCES,spike-in,C,T00,R1,25226001,10098245.52
ABD1,MCES,rim15KO,C,T00,R1,34419001,15683907.15
ABD1,MCES,WT,C,T00,R1,20115001,7216203.785
ABD1,MCES,spike-in,C,T00,R3,32086001,8414171.068
ABD1,MCES,rim15KO,C,T00,R3,43024001,13155034.9
ABD1,MCES,WT,C,T00,R3,47245001,10509391.2
ABD1,MCES,spike-in,C,T06,R1,7437601,6768696.944
ABD1,MCES,rim15KO,C,T06,R1,6563901,7251832.487
ABD1,MCES,WT,C,T06,R1,4388501,5946391.018
ABD1,MCES,spike-in,C,T06,R3,8456401,5259135.742
ABD1,MCES,rim15KO,C,T06,R3,18581001,16477904.78
ABD1,MCES,WT,C,T06,R3,8063401,6669317.019
ABD1,MCES,spike-in,C,T16,R1,6642801,5627896.35
ABD1,MCES,rim15KO,C,T16,R1,6025501,9650696.264
ABD1,MCES,WT,C,T16,R1,3667101,7887588.943
ABD1,MCES,spike-in,C,T16,R3,12256001,7826034.285
ABD1,MCES,rim15KO,C,T16,R3,8325401,10849566.86
ABD1,MCES,WT,C,T16,R3,6932101,9100021.92
ABD1,MCES,spike-in,C,T30,R1,7505301,6832772.049
ABD1,MCES,rim15KO,C,T30,R1,7688501,13394638.13
ABD1,MCES,WT,C,T30,R1,3485901,8912837.733
ABD1,MCES,spike-in,C,T30,R3,1,0.837670589
ABD1,MCES,rim15KO,C,T30,R3,1,1.99885598
ABD1,MCES,WT,C,T30,R3,1,1.726595145
ABD1,MCES,spike-in,P,T06,R1,6758501,5462149.161
ABD1,MCES,rim15KO,P,T06,R1,22360001,18837521.53
ABD1,MCES,WT,P,T06,R1,7276601,7364430.769
ABD1,MCES,spike-in,P,T06,R3,7556801,7277923.437
ABD1,MCES,rim15KO,P,T06,R3,3344001,3713946.384
ABD1,MCES,WT,P,T06,R3,1429301,1458267.778
ABD1,MCES,spike-in,P,T16,R1,14499001,10128392.61
ABD1,MCES,rim15KO,P,T16,R1,26659001,35443645.16
ABD1,MCES,WT,P,T16,R1,11038001,17629828.64
ABD1,MCES,spike-in,P,T16,R3,22998001,13435288.64
ABD1,MCES,rim15KO,P,T16,R3,14052001,18870008.01
ABD1,MCES,WT,P,T16,R3,16748001,19566098.02
ABD1,MCES,spike-in,P,T30,R1,13561001,8601980.216
ABD1,MCES,rim15KO,P,T30,R1,2974401,4376941.824
ABD1,MCES,WT,P,T30,R1,2344201,4698264.089
ABD1,MCES,spike-in,P,T30,R3,3179601,2310892.317
ABD1,MCES,rim15KO,P,T30,R3,2395701,5619917.107
ABD1,MCES,WT,P,T30,R3,1707901,3307768.517
ABD1,MCES,spike-in,P,T00,R1,25226001,10098245.52
ABD1,MCES,rim15KO,P,T00,R1,34419001,15683907.15
ABD1,MCES,WT,P,T00,R1,20115001,7216203.785
ABD1,MCES,spike-in,P,T00,R3,32086001,8414171.068
ABD1,MCES,rim15KO,P,T00,R3,43024001,13155034.9
ABD1,MCES,WT,P,T00,R3,47245001,10509391.2
ABF1,ABF1,spike-in,C,T00,R1,86254001,34528424.82
ABF1,ABF1,rim15KO,C,T00,R1,83213001,37918154.02
ABF1,ABF1,WT,C,T00,R1,103350001,37076541.45
ABF1,ABF1,spike-in,C,T00,R3,76578001,20081667.4
ABF1,ABF1,rim15KO,C,T00,R3,63398001,19384596.89
ABF1,ABF1,WT,C,T00,R3,137660001,30621711.77
ABF1,ABF1,spike-in,C,T06,R1,50991001,46405101.95
ABF1,ABF1,rim15KO,C,T06,R1,50086001,55335278.4
ABF1,ABF1,WT,C,T06,R1,35025001,47458654.19
ABF1,ABF1,spike-in,C,T06,R3,18569001,11548281.22
ABF1,ABF1,rim15KO,C,T06,R3,5694801,5050233.226
ABF1,ABF1,WT,C,T06,R3,6959601,5756353.355
ABF1,ABF1,spike-in,C,T16,R1,20508001,17374734.54
ABF1,ABF1,rim15KO,C,T16,R1,10678001,17102336.28
ABF1,ABF1,WT,C,T16,R1,10082001,21685434.79
ABF1,ABF1,spike-in,C,T16,R3,54833001,35013455.51
ABF1,ABF1,rim15KO,C,T16,R3,35664001,46476916.03
ABF1,ABF1,WT,C,T16,R3,27690001,36349674.66
ABF1,ABF1,spike-in,C,T30,R1,38063001,34652282.35
ABF1,ABF1,rim15KO,C,T30,R1,25411001,44270159.15
ABF1,ABF1,WT,C,T30,R1,14511001,37102085.59
ABF1,ABF1,spike-in,C,T30,R3,23172001,19410503.73
ABF1,ABF1,rim15KO,C,T30,R3,11058001,22103351.43
ABF1,ABF1,WT,C,T30,R3,11699001,20199438.33
ABF1,ABF1,spike-in,P,T06,R1,51493001,41616099.81
ABF1,ABF1,rim15KO,P,T06,R1,52678001,44379379.85
ABF1,ABF1,WT,P,T06,R1,44550001,45087726.83
ABF1,ABF1,spike-in,P,T06,R3,64518001,62137016.92
ABF1,ABF1,rim15KO,P,T06,R3,51890001,57630569.37
ABF1,ABF1,WT,P,T06,R3,46814001,47762752.02
ABF1,ABF1,spike-in,P,T16,R1,48380001,33796234.95
ABF1,ABF1,rim15KO,P,T16,R1,43911001,58380504.88
ABF1,ABF1,WT,P,T16,R1,48460001,77400021.38
ABF1,ABF1,spike-in,P,T16,R3,82319001,48090246.57
ABF1,ABF1,rim15KO,P,T16,R3,46020001,61798870.32
ABF1,ABF1,WT,P,T16,R3,41869001,48914075.04
