nutrient,Gene names,Protein IDs,data,term,estimate,std.error,statistic,p.value,qvalue
P,ERG12,P07277,ratio,samplingTime:genotypeWT,-0.005686964532606654,0.009371052917674736,-0.6068650537529753,0.5507682536810101,0.5759391073904391
P,ERG13,P54839,intensity,(Intercept),31.030493294968597,0.3524646351391241,88.03860075981893,2.2498451326906578e-27,1.5772641451300826e-26
P,ERG13,P54839,intensity,samplingTime,-0.05311200925012166,0.020417728102927784,-2.6012692980521033,0.01707998861678226,0.03727022651101273
P,ERG13,P54839,intensity,genotypeWT,-0.13428686109347648,0.49846026727063397,-0.2694033404683924,0.7903791754064616,0.653438113078181
P,ERG13,P54839,intensity,samplingTime:genotypeWT,-0.007879353075509857,0.028875027996006764,-0.27287776401808245,0.7877448788801122,0.6528901933709278
P,ERG13,P54839,normed_intensity,(Intercept),30.50673349070522,0.15001156695646445,203.36254136695152,1.2270862131056408e-34,3.7356714966738654e-33
P,ERG13,P54839,normed_intensity,samplingTime,-0.0029059121412579334,0.008689936751249547,-0.33439968833375977,0.7415592774418734,0.6429825992494113
P,ERG13,P54839,normed_intensity,genotypeWT,-0.14125384049217385,0.2121483925026717,-0.6658256460293234,0.5131294872737051,0.5554607481169003
P,ERG13,P54839,normed_intensity,samplingTime:genotypeWT,-0.0011884675349817188,0.012289426409781505,-0.09670650975506746,0.9239219921035857,0.6721572433778145
P,ERG13,P54839,normed_ratio,(Intercept),0.002699603137054372,0.08604329688318739,0.0313749383722402,0.9752815230130865,0.6753732148392035
P,ERG13,P54839,normed_ratio,samplingTime,-0.01741628088081667,0.0049843543598266805,-3.494189943875154,0.002285660058011347,0.0061884338737105095
P,ERG13,P54839,normed_ratio,genotypeWT,-2.2038419138279263e-4,0.12168359740349828,-0.001811124885238286,0.9985728757550489,0.6761043256556276
P,ERG13,P54839,normed_ratio,samplingTime:genotypeWT,-0.004958865257994569,0.00704894153534036,-0.7034907628518342,0.4898595593271702,0.5419032185554389
P,ERG13,P54839,ratio,(Intercept),-0.043428109923322925,0.1424422709734736,-0.30488217876988466,0.7636059371596884,0.647396029188587
P,ERG13,P54839,ratio,samplingTime,-0.042624468938049394,0.00825145920796272,-5.165688621100673,4.7016299371956057e-5,1.7263044693676674e-4
P,ERG13,P54839,ratio,genotypeWT,-0.07384559497444285,0.20144379146590982,-0.36658163767206337,0.7177806978809803,0.6380671778655751
P,ERG13,P54839,ratio,samplingTime:genotypeWT,-0.007653216569963607,0.011669325521269237,-0.6558405244599937,0.5194009354788722,0.558703896293063
P,ERG2,P32352,intensity,(Intercept),29.482974624716228,0.3624309668383851,81.34783537374511,1.0885999864180096e-26,7.018684795845673e-26
P,ERG2,P32352,intensity,samplingTime,-0.0965770725080348,0.020995062196995918,-4.5999898262675085,1.7334920167246394e-4,5.871421423731102e-4
P,ERG2,P32352,intensity,genotypeWT,-0.22342457854054448,0.5125547887268378,-0.43590379692973064,0.6675752353713714,0.6220469605170693
P,ERG2,P32352,intensity,samplingTime:genotypeWT,-0.009344787737044767,0.029691501701858303,-0.3147293737743115,0.7562270122732764,0.6459638931677998
P,ERG2,P32352,normed_intensity,(Intercept),28.959214820452857,0.182094618183944,159.0338863897643,1.6719691941378814e-32,3.2703343481326555e-31
P,ERG2,P32352,normed_intensity,samplingTime,-0.046370975399170955,0.010548458008045752,-4.395995638775058,2.788112327590204e-4,9.078935470231526e-4
P,ERG2,P32352,normed_intensity,genotypeWT,-0.23039155793923866,0.257520678670884,-0.8946526513068224,0.38161361183714926,0.4680712947466986
P,ERG2,P32352,normed_intensity,samplingTime:genotypeWT,-0.0026539021965167452,0.014917772377101388,-0.1779020439131016,0.860589447740582,0.666469069333389
P,ERG2,P32352,normed_ratio,(Intercept),-0.23642655288387918,0.12110715145442152,-1.9522096758493896,0.06505500326429238,0.11766249164431421
P,ERG2,P32352,normed_ratio,samplingTime,-0.03612920789589214,0.007015548918093418,-5.149876127684504,4.874625708364309e-5,1.7872776049334535e-4
P,ERG2,P32352,normed_ratio,genotypeWT,0.015061838189455829,0.17127137608721546,0.08794136261149664,0.9307978734086483,0.6726907306479467
P,ERG2,P32352,normed_ratio,samplingTime:genotypeWT,-0.006732744508688999,0.009921484427459609,-0.678602537545172,0.5051668824862839,0.5512721047957616
P,ERG2,P32352,ratio,(Intercept),-0.325176350457078,0.19142472436896885,-1.6987165661542472,0.10487656225719853,0.17561104746675033
P,ERG2,P32352,ratio,samplingTime,-0.05385296034751766,0.011088936547636222,-4.8564585175660735,9.567110645692287e-5,3.3749517289308266e-4
P,ERG2,P32352,ratio,genotypeWT,-0.04389312563886424,0.2707154413761273,-0.16213750281750605,0.8728244570034611,0.6682073914568674
P,ERG2,P32352,ratio,samplingTime:genotypeWT,-0.016373246556254165,0.015682124457961837,-1.0440706933645998,0.30890885375485966,0.4072073572385377
P,ERG20,P08524,intensity,(Intercept),31.38443907657909,0.3257865456453311,96.33436216468525,3.7303501130629644e-28,2.979145490029336e-27
P,ERG20,P08524,intensity,samplingTime,-0.07754684943566661,0.018872307872683024,-4.1090284218981425,5.451902653176991e-4,0.0016813261561588952
P,ERG20,P08524,intensity,genotypeWT,0.023044717030247852,0.4607317512903087,0.050017644683071336,0.9606044856331393,0.6746594532684203
P,ERG20,P08524,intensity,samplingTime:genotypeWT,0.0043514025571254195,0.02668947374682887,0.1630381549820717,0.8721245385546399,0.6681519283476338
