Protein IDs,Protein names,Gene names,Fasta headers,nutrient,time,pvalue,qvalue,log2FC
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,C,T16,0.15195314818295808,0.3348494829049912,0.20530500000000007
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,C,T30,0.38841062889688827,0.5650947663784144,0.16177166666666665
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,P,T00,0.8062718806577572,0.881364704632433,-0.009721095117681378
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,P,T06,3.3101852074985283e-4,0.03519274588276696,0.16262714497280029
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,P,T16,0.03831052096755442,0.17880313677357987,0.3920841918919459
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,P,T30,0.05791153821672844,0.2182629954263212,0.6271659937532585
O43137,Uncharacterized protein YBR085C-A,YBR085C-A,sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1,C,T00,0.9476480072083956,0.9706825698156629,0.010908333333333298
O43137,Uncharacterized protein YBR085C-A,YBR085C-A,sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1,P,T00,0.1094237779193148,0.2962923031386174,-0.24426415175411986
O43137,Uncharacterized protein YBR085C-A,YBR085C-A,sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1,P,T06,0.5488692054196133,0.6958336262177852,-0.19489494384676265
O43137,Uncharacterized protein YBR085C-A,YBR085C-A,sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1,P,T16,0.04408587241408504,0.19140450036793935,0.3596849577014608
