Protein IDs,Protein names,Gene names,Fasta headers,rim15KO_C_T00_R1,rim15KO_C_T00_R2,rim15KO_C_T00_R3,rim15KO_C_T06_R1,rim15KO_C_T06_R2,rim15KO_C_T06_R3,rim15KO_C_T16_R1,rim15KO_C_T16_R2,rim15KO_C_T16_R3,rim15KO_C_T30_R1,rim15KO_C_T30_R2,rim15KO_C_T30_R3,rim15KO_N_T00_R1,rim15KO_N_T00_R2,rim15KO_N_T00_R3,rim15KO_N_T06_R1,rim15KO_N_T06_R2,rim15KO_N_T06_R3,rim15KO_N_T16_R1,rim15KO_N_T16_R2,rim15KO_N_T16_R3,rim15KO_N_T30_R1,rim15KO_N_T30_R2,rim15KO_N_T30_R3,rim15KO_P_T00_R1,rim15KO_P_T00_R2,rim15KO_P_T00_R3,rim15KO_P_T06_R1,rim15KO_P_T06_R2,rim15KO_P_T06_R3,rim15KO_P_T16_R1,rim15KO_P_T16_R2,rim15KO_P_T16_R3,rim15KO_P_T30_R1,rim15KO_P_T30_R2,rim15KO_P_T30_R3,WT_C_T00_R1,WT_C_T00_R2,WT_C_T00_R3,WT_C_T06_R1,WT_C_T06_R2,WT_C_T06_R3,WT_C_T16_R1,WT_C_T16_R2,WT_C_T16_R3,WT_C_T30_R1,WT_C_T30_R2,WT_C_T30_R3,WT_N_T00_R1,WT_N_T00_R2,WT_N_T00_R3,WT_N_T06_R1,WT_N_T06_R2,WT_N_T06_R3,WT_N_T16_R1,WT_N_T16_R2,WT_N_T16_R3,WT_N_T30_R1,WT_N_T30_R2,WT_N_T30_R3,WT_P_T00_R1,WT_P_T00_R2,WT_P_T00_R3,WT_P_T06_R1,WT_P_T06_R2,WT_P_T06_R3,WT_P_T16_R1,WT_P_T16_R2,WT_P_T16_R3,WT_P_T30_R1,WT_P_T30_R2,WT_P_T30_R3
P50095,Inosine-5-monophosphate dehydrogenase 3,IMD3,sp|P50095|IMDH3_YEAST Inosine-5-monophosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IMD3 PE=1 SV=1,0.98995,1.0029,1.0218,0.98346,0.92997,0.95508,0.95997,0.90847,0.98069,0.89797,0.89443,0.95043,0.98995,1.0029,1.0218,0.74386,0.93512,0.91254,0.61925,0.71254,0.57541,NA,0.35024,0.30214,0.98995,0.88608,1.0218,0.6117,0.65016,0.64713,0.57457,0.63451,0.60717,0.5111,0.57293,0.56655,0.93139,0.88608,0.98263,1.0038,0.97751999999999994,0.92321,0.99394,0.952,0.93996,0.95196,0.95117,0.95259,0.93139,0.88608,0.98263,0.85988,0.92107000000000006,0.95667,0.86888,0.82289,0.99916,NA,0.82054,0.92873000000000006,0.93139,1.0029,0.98263,0.6286,0.65241,0.68565,0.64637,0.57188,0.58216,0.55995,0.55173,0.64159
P50094,Inosine-5-monophosphate dehydrogenase 4,IMD4,sp|P50094|IMDH4_YEAST Inosine-5-monophosphate dehydrogenase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IMD4 PE=1 SV=1,1.0932,1.0983,1.0276,0.92512,0.9544,0.89226,0.81064,0.81956,0.82479,0.76661,0.81233,0.79626,1.0932,1.0983,1.0276,0.6427,NA,NA,NA,NA,0.37381,NA,NA,NA,1.0932,0.97845,1.0276,0.43372,0.47095,0.47745,NA,NA,0.48674,NA,NA,0.34879,1.0463,0.97845,1.0699,0.95962,0.95588,1.0278,0.9101,1.0393,0.98125,0.93251,1.0127,1.0483,1.0463,0.97845,1.0699,1.1718,NA,NA,NA,NA,0.98152,NA,NA,NA,1.0463,1.0983,1.0699,0.5453,0.52633,0.52226,NA,NA,0.44292,NA,NA,0.40418
P50090,Kelch repeat-containing protein 2,KEL2,sp|P50090|KEL2_YEAST Kelch repeat-containing protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KEL2 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50089,Uncharacterized protein YGR237C,Uncharacterized protein YGR237C,sp|P50089|YG51_YEAST Uncharacterized protein YGR237C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YGR237C PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50088,Stationary phase gene 1 protein,SPG1,sp|P50088|SPG1_YEAST Stationary phase gene 1 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SPG1 PE=1 SV=2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50087,MICOS subunit MIC26,MIC26,sp|P50087|MIC26_YEAST MICOS subunit MIC26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MIC26 PE=1 SV=1,0.92306,0.92867,0.79198,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92306,0.92867,0.79198,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92306,0.67131,0.79198,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82807,0.67131,0.72744,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82807,0.67131,0.72744,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82807,0.92867,0.72744,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50086,Probable 26S proteasome regulatory subunit p28,NAS6,sp|P50086|PSD10_YEAST Probable 26S proteasome regulatory subunit p28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NAS6 PE=1 SV=1,0.99439,0.90974,0.80599,NA,1.1103,1.0807,1.6263,1.5802,1.4717,1.7732,1.9798,1.6265,0.99439,0.90974,0.80599,NA,NA,0.97606,NA,NA,NA,NA,NA,1.5136,0.99439,1.0922,0.80599,NA,0.77743,0.71951,0.78048,0.82061,0.93265,0.73918,0.71483,1.0377,1.1055,1.0922,0.82653,NA,0.96516,0.99243,1.1673,0.96345,1.0141,1.0354,0.95658,1.2166,1.1055,1.0922,0.82653,NA,NA,0.79746,NA,NA,NA,NA,NA,0.60873,1.1055,0.90974,0.82653,NA,0.85093,0.88034,0.82285,0.94554,0.88933,0.80518,0.87072,0.93396
P50085,Prohibitin-2,PHB2,sp|P50085|PHB2_YEAST Prohibitin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHB2 PE=1 SV=2,0.84911,1.0554,0.81269,1.0549,1.158,0.89804,1.3609,1.6911,1.5192,0.84029,1.0762,1.2067,0.84911,1.0554,0.81269,NA,0.98509,NA,NA,NA,0.88706,NA,NA,NA,0.84911,0.91978,0.81269,1.0856,1.1065,0.95208,1.0466,1.0308,1.0188,1.0901,1.152,0.9493,0.94395,0.91978,0.83647,1.0659,1.009,1.0325,1.0427,0.85424,1.0388,0.90163,0.86194,0.87176,0.94395,0.91978,0.83647,NA,0.96285,NA,NA,NA,1.0886,NA,NA,NA,0.94395,1.0554,0.83647,1.1406,1.1545,1.2995,1.0221,1.292,1.1148,1.0234,1.4593,1.1178
P50077,Calcium-channel protein CCH1,CCH1,sp|P50077|CCH1_YEAST Calcium-channel protein CCH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCH1 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P49957,tRNA (carboxymethyluridine(34)-5-O)-methyltransferase,TRM9,sp|P49957|TRM9_YEAST tRNA (carboxymethyluridine(34)-5-O)-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRM9 PE=1 SV=1,0.98529,1.0624,1.0191,1.1714,1.094,1.03,1.3729,1.1853,1.0868,1.1544,1.2496,1.1132,0.98529,1.0624,1.0191,1.0666,NA,NA,NA,NA,NA,NA,NA,NA,0.98529,1.0548,1.0191,0.79981,1.3491,1.3355,0.76657,1.2874,1.0681,0.74631,0.86025,NA,1.0232,1.0548,1.0609,1.0662,1.0008,1.2633,1.3327,0.9782,0.8382,0.88444,1.1242,0.84882,1.0232,1.0548,1.0609,2.0432,NA,NA,NA,NA,NA,NA,NA,NA,1.0232,1.0624,1.0609,1.1619,0.91756,1.4158,0.98935,1.0756,1.0133,1.073,0.78505,NA
P49955,U2 snRNP component HSH155,HSH155,sp|P49955|SF3B1_YEAST U2 snRNP component HSH155 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSH155 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P49954,Probable hydrolase NIT3,NIT3,sp|P49954|NIT3_YEAST Omega-amidase NIT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NIT3 PE=1 SV=1,0.91613,0.97862,1.0117,0.92961,0.92144,1.0489,0.84997,0.94362,0.90001,0.9678,0.91178,0.88351,0.91613,0.97862,1.0117,0.69408,0.78544,0.79318,NA,NA,NA,NA,NA,NA,0.91613,1.2273,1.0117,1.2462,1.4214,1.1891,1.2265,1.3618,1.0363,1.1242,1.2794,1.0064,1.0612,1.2273,0.9686,1.1264,1.0651,0.99231,1.0403,1.0635,1.0316,1.0171,1.1558,1.1155,1.0612,1.2273,0.9686,1.0934,1.1933,0.87195,NA,NA,NA,NA,NA,NA,1.0612,0.97862,0.9686,1.271,1.1989,1.1276,1.3666,1.0455,1.0522,1.1434,0.97928,0.90525
P49723,Ribonucleoside-diphosphate reductase small chain 2,RNR4,sp|P49723|RIR4_YEAST Ribonucleoside-diphosphate reductase small chain 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RNR4 PE=1 SV=1,1.1065,1.0408,1.1183,1.6578,1.2947,1.8059,2.2728,2.9808,2.16,1.7294,1.7941,2.2148,1.1065,1.0408,1.1183,1.7145,1.2972,1.8365,1.6616,2.6721,3.8257,2.6407,2.0656,4.7895,1.1065,1.1227,1.1183,1.8011,2.1815,1.8377,1.5343,1.6408,1.4933,1.4386,1.6441,1.298,1.1993,1.1227,1.0715,1.4046,1.3341,1.2849,1.6369,1.8522,1.4232,1.2194,1.4517,1.4358,1.1993,1.1227,1.0715,1.0703,1.1682,1.226,0.87011,1.1322,1.419,1.6412,1.8435,1.9164,1.1993,1.0408,1.0715,2.216,1.7812,2.1314,2.0807,1.6621,1.7921,1.8765,2.0533,1.8562
P49687,Nucleoporin NUP145;Nucleoporin NUP145N;Nucleoporin NUP145C,NUP145,sp|P49687|NU145_YEAST Nucleoporin NUP145 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP145 PE=1 SV=1,1.0137,1.0246,1.0054,1.1281,0.92082,1.2321,1.0475,1.7197,0.79001999999999994,1.0693,1.3708,NA,1.0137,1.0246,1.0054,0.83685,NA,NA,NA,NA,NA,NA,NA,NA,1.0137,1.0223,1.0054,1.1644,1.0335,0.82468,1.4322,NA,0.89428,1.0117,0.94314,1.2123,0.95248,1.0223,1.0052,1.0118,0.99347,1.0151,0.83356,1.1458,0.97321,1.7009,1.3509,NA,0.95248,1.0223,1.0052,1.076,NA,NA,NA,NA,NA,NA,NA,NA,0.95248,1.0246,1.0052,1.4576,1.4631,0.86217,0.79083,NA,0.89166,0.83375,0.78198,1.1408
P49626,60S ribosomal protein L4-B,RPL4B,sp|P49626|RL4B_YEAST 60S ribosomal protein L4-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL4B PE=1 SV=2,0.92275,0.97125,0.90049,0.78522,0.84372,0.71438,0.76652,0.75709,0.6431,0.76529,0.82777,0.63861,0.92275,0.97125,0.90049,0.95968,NA,0.86418,NA,NA,0.79482,NA,NA,NA,0.92275,1.0242,0.90049,0.47023,0.45057,0.38822,0.29101,0.30052,0.21783,NA,0.17958,NA,0.97363,1.0242,0.98691,0.964,0.96177,0.90005,0.91406,1.028,1.0047,0.98599,1.027,0.97286,0.97363,1.0242,0.98691,1.0277,NA,0.94368,NA,NA,0.93534,NA,NA,NA,0.97363,0.97125,0.98691,0.47729,0.50394,0.48055,0.31744,0.34875,0.32224,NA,0.24157,NA
P49573,Copper transport protein CTR1,CTR1,sp|P49573|CTR1_YEAST Copper transport protein CTR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CTR1 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P49435,Adenine phosphoribosyltransferase 1,APT1,sp|P49435|APT1_YEAST Adenine phosphoribosyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=APT1 PE=1 SV=3,1.042,1.015,0.91236,1.0194,0.87784,0.68681,0.80673,0.85045,0.66379,1.0793,0.63942,0.69183,1.042,1.015,0.91236,0.57518,0.72331,0.79225,0.59913,0.55592,0.51639,NA,0.67376,NA,1.042,0.95306,0.91236,0.60838,0.61284,0.57146,0.476,0.58305,0.56199,0.47163,0.49071,0.43881,0.9699,0.95306,0.84073,0.8995,0.90536,0.87042,0.88963,0.87392,0.92616,0.96202,0.84172,0.83256,0.9699,0.95306,0.84073,0.88021,0.91985,0.89506,0.86035,0.92296,0.85602,NA,1.0005,NA,0.9699,1.015,0.84073,0.65249,0.58091,0.61353,0.53435,0.61978,0.61088,0.48635,0.56406,0.57348
P49367,"Homoaconitase, mitochondrial",LYS4,"sp|P49367|LYS4_YEAST Homoaconitase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LYS4 PE=1 SV=1",1.1924,0.98376,1.0935,1.2694,0.9833,0.89149,1.0254,0.93701,0.80741,1.0131,0.84281,1.0938,1.1924,0.98376,1.0935,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1924,0.87831,1.0935,0.95963,1.1113,1.0603,1.0053,1.0654,1.0073,1.0955,1.1637,1.1273,0.86178,0.87831,0.89954,1.0068,1.1789,0.96163,0.97626,1.028,0.70074,1.0098,1.0657,0.9054,0.86178,0.87831,0.89954,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86178,0.98376,0.89954,0.9495,0.83327,0.83653,0.83321,0.70677,0.76797,0.86957,0.75815,0.8208
P49334,Mitochondrial import receptor subunit TOM22,TOM22,sp|P49334|TOM22_YEAST Mitochondrial import receptor subunit TOM22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM22 PE=1 SV=3,1.1017,1.0342,0.86129,1.1956,1.4752,1.1303,1.1449,1.2427,1.2292,1.3298,1.2271,0.7091,1.1017,1.0342,0.86129,1.1906,NA,NA,NA,NA,0.60596,NA,NA,NA,1.1017,0.74232,0.86129,0.94942,0.94438,0.86574,0.9127,0.82627,0.88297,0.80469,0.66569,0.69038,0.86965,0.74232,0.75423,1.1032,0.93612,1.0013,1.1376,1.0269,0.86383,1.1428,0.99995,0.8037,0.86965,0.74232,0.75423,0.76039,NA,NA,NA,NA,0.89468,NA,NA,NA,0.86965,1.0342,0.75423,0.84602,1.0425,0.83926,0.82876,0.97911,0.67894,0.69921,0.82287,0.61857
P49167,60S ribosomal protein L38,RPL38,sp|P49167|RL38_YEAST 60S ribosomal protein L38 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL38 PE=1 SV=1,1.067,1.0175,0.93588,0.9988,0.88649,1.0705,0.88103,0.8228,1.035,0.85112,0.81093,0.73766,1.067,1.0175,0.93588,0.85714,1.4928,1.5934,0.47445,1.012,NA,0.4942,NA,0.59009,1.067,0.96085,0.93588,0.53414,0.48951,0.44729,0.25429,0.27028,0.30113,0.20465,0.16809,0.1671,1.001,0.96085,0.94577,0.96597,0.95012,0.8481,0.93194,0.96184,0.9385,0.89891,0.9563,0.93772,1.001,0.96085,0.94577,0.93465,0.98022,1.0315,1.0388,0.81489,NA,0.99225,NA,1.1081,1.001,1.0175,0.94577,0.4977,0.57533,0.50658,0.3033,0.34156,0.32954,0.22314,0.2581,0.23414
P49095,"Glycine dehydrogenase (decarboxylating), mitochondrial",GCV2,"sp|P49095|GCSP_YEAST Glycine dehydrogenase (decarboxylating), mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GCV2 PE=1 SV=1",0.83331,0.81192,0.84649,1.5216,1.2644,1.4182,4.5073,1.5841,2.9652,1.9693,2.2216,3.9285,0.83331,0.81192,0.84649,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83331,0.79219,0.84649,2.8942,3.6758,3.0397,2.4491,2.5842,2.5015,2.3489,2.3781,2.4932,0.76736,0.79219,0.74868,1.0382,1.2358,1.0673,2.4106,1.0239,1.4114,1.0535,1.6677,1.5724,0.76736,0.79219,0.74868,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76736,0.81192,0.74868,2.5718,2.3372,2.3437,1.7523,1.4223,1.8148,1.4863,1.2669,1.6684
P49090,Asparagine synthetase [glutamine-hydrolyzing] 2,ASN2,sp|P49090|ASNS2_YEAST Asparagine synthetase [glutamine-hydrolyzing] 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ASN2 PE=1 SV=2,1.0779,0.99529,1.0407,1.014,0.96716,0.96985,1.0766,0.85967,0.94939,0.92582,0.92015,0.91604,1.0779,0.99529,1.0407,0.85872,0.96758,0.95751,0.52771,0.58772,0.68726,0.49936,0.49613,0.51348,1.0779,1.0657,1.0407,0.90269,0.86632,0.82333,0.66847,0.83459,0.78913,0.61458,0.65278,0.63036,1.032,1.0657,1.0047,1.0455,1.0634,0.97496,0.96292,1.0581,0.94267,0.9424,1.0112,0.97367,1.032,1.0657,1.0047,0.99142,1.1328,1.0254,1.0901,1.0176,1.0226,0.91724000000000006,1.021,0.95827,1.032,0.99529,1.0047,0.81062,0.72221,0.72028,0.64052,0.66588,0.63341,0.50847,0.48672,0.5268
P49089,Asparagine synthetase [glutamine-hydrolyzing] 1,ASN1,sp|P49089|ASNS1_YEAST Asparagine synthetase [glutamine-hydrolyzing] 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ASN1 PE=1 SV=2,1.1103,1.0081,1.0104,1.0805,1.0007,0.96972,1.289,0.77754,0.82699,1.3499,0.79268,1.1172,1.1103,1.0081,1.0104,3.0553,4.011,3.1649,NA,NA,2.7941,1.6575,NA,2.5761,1.1103,1.014,1.0104,1.2276,1.1385,1.0667,1.0209,1.1476,1.0566,0.89759,0.93427,0.79701,0.91878,1.014,0.89648,1.0635,1.1145,0.92104,1.0541,1.092,0.87227,1.0693,1.158,0.89746,0.91878,1.014,0.89648,1.0123,1.2782,0.9332,NA,NA,0.99468,0.65603,NA,0.84352,0.91878,1.0081,0.89648,0.84112,0.73899,0.6456,0.66525,0.63269,0.60689,0.54937,0.56321,0.59517
P49017,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",COQ5,"sp|P49017|COQ5_YEAST 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COQ5 PE=1 SV=1",0.91446,0.79714,0.7497,0.97091,0.97101,0.72577,NA,NA,NA,NA,0.70002,NA,0.91446,0.79714,0.7497,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91446,0.91703,0.7497,0.80436,0.87731,1.0736,NA,NA,0.70324,NA,NA,0.58279,0.98657,0.91703,0.94362,0.77213,0.68496,0.80659,NA,NA,NA,NA,0.62497,NA,0.98657,0.91703,0.94362,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98657,0.79714,0.94362,0.72402,0.78182,1.2949,NA,NA,1.0201,NA,NA,0.8234
P48837,Nucleoporin NUP57,NUP57,sp|P48837|NUP57_YEAST Nucleoporin NUP57 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP57 PE=1 SV=1,1.1547,1.0881,1.2959,1.29,1.2559,1.3857,1.752,1.8517,1.8015,1.7276,1.6792,1.8779,1.1547,1.0881,1.2959,1.5509,NA,1.3479,NA,NA,1.485,NA,1.5357,NA,1.1547,0.9994,1.2959,1.1476,1.0143,0.93914,0.98091,1.0444,0.99966,0.71796,0.98581,1.1275,0.96327,0.9994,0.89896,1.0805,1.0885,1.2578,1.1648,1.4807,1.3032,1.2394,1.5716,1.37,0.96327,0.9994,0.89896,1.4873,NA,1.2588,NA,NA,0.78654,NA,1.3542,NA,0.96327,1.0881,0.89896,1.0367,1.0278,0.92961,1.0162,1.2584,0.87581,0.94104,1.0429,0.90595
P48836,V-type proton ATPase subunit G,VMA10,sp|P48836|VATG_YEAST V-type proton ATPase subunit G OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA10 PE=1 SV=1,0.85457,0.86491,0.85177,1.1105,1.0559,1.1608,1.2986,1.4571,1.3586,1.3643,1.2636,1.1913,0.85457,0.86491,0.85177,1.441,1.3569,1.4423,NA,NA,NA,NA,NA,2.1244,0.85457,1.033,0.85177,0.81788,0.96816,0.87551,0.82169,0.89508,0.85636,0.77792,0.90162,0.85635,0.99762,1.033,0.96286,1.1041,1.0726,1.0767,1.1219,1.1168,1.0091,1.0873,1.1416,0.97423,0.99762,1.033,0.96286,0.51715,0.98436,1.0197,NA,NA,NA,NA,NA,0.94003,0.99762,0.86491,0.96286,0.88072,0.86038,0.93113,0.74544,0.76866,0.8254,0.82469,0.75894,0.80297
P48813,High-affinity glutamine permease,GNP1,sp|P48813|GNP1_YEAST High-affinity glutamine permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GNP1 PE=1 SV=2,0.74971,0.86075,0.76788,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74971,0.86075,0.76788,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74971,1.0309,0.76788,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1609,1.0309,1.0273,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1609,1.0309,1.0273,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1609,0.86075,1.0273,NA,NA,NA,NA,NA,NA,NA,NA,NA
P48743,RFX-like DNA-binding protein RFX1,RFX1,sp|P48743|RFX1_YEAST RFX-like DNA-binding protein RFX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RFX1 PE=1 SV=2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P48606,Tubulin-specific chaperone A,RBL2,sp|P48606|TBCA_YEAST Tubulin-specific chaperone A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RBL2 PE=1 SV=1,1.1467,1.024,0.96852,1.2251,0.92339,0.93141,1.1695,1.1117,1.0474,1.2755,1.0462,1.077,1.1467,1.024,0.96852,NA,0.99154,NA,NA,NA,NA,NA,NA,NA,1.1467,1.127,0.96852,0.94905,0.89051,0.8858,0.88287,0.83902,0.88497,0.75478,0.81318,0.80148,0.85828,1.127,0.67196,0.81828,0.88798,0.7751,0.91031,0.96004,0.80382,0.84471,0.93335,0.82174,0.85828,1.127,0.67196,NA,1.4605,NA,NA,NA,NA,NA,NA,NA,0.85828,1.024,0.67196,0.8736,0.87056,0.77576,0.76631,0.78367,0.75319,0.88447,0.74843,0.69974
P48589,40S ribosomal protein S12,RPS12,sp|P48589|RS12_YEAST 40S ribosomal protein S12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS12 PE=1 SV=1,1.0557,0.99818,0.98871,1.009,1.0225,0.98587,1.1166,1.1118,1.0576,1.1742,1.1005,1.1276,1.0557,0.99818,0.98871,1.1135,1.3427,1.5094,0.93484,0.96191,1.1346,0.82172,0.84357,0.91585,1.0557,0.93587,0.98871,0.53455,0.40525,0.4361,0.33541,0.38357,0.36702,0.26521,0.29089,0.29828,1.029,0.93587,0.93906,1.0186,1.0411,0.93747,1.0714,1.053,1.0207,1.0498,1.0848,1.0293,1.029,0.93587,0.93906,1.0477,1.053,1.0532,1.2204,1.0976,1.0989,1.1385,1.0748,1.2487,1.029,0.99818,0.93906,0.57453,0.58417,0.49531,0.40977,0.38583,0.4477,0.31831,0.31627,0.35309
P48582,Vacuolar-sorting protein BRO1,BRO1,sp|P48582|BRO1_YEAST Vacuolar-sorting protein BRO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BRO1 PE=1 SV=2,1.4174,1.0671,NA,1.1139,1.331,NA,NA,NA,NA,NA,NA,NA,1.4174,1.0671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4174,0.89491,NA,NA,1.2391,1.3531,1.1088,NA,NA,1.0308,NA,NA,1.2617,0.89491,NA,1.2492,1.0792,NA,NA,NA,NA,NA,NA,NA,1.2617,0.89491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2617,1.0671,NA,NA,1.5016,1.4216,1.0312,NA,NA,0.86045,NA,NA
