genotype,Gene names,Protein IDs,data,term,estimate,std.error,statistic,p.value,qvalue
WT,STE23,Q06010,normed_intensity,nutrientP,0.17019190112458601,0.23796270051878257,0.7152041086840525,0.4827492748940876,0.3981427728696212
WT,STE23,Q06010,normed_intensity,samplingTime:nutrientP,-0.0037473561105856113,0.013784809122518447,-0.27184678999029765,0.7885262888971001,0.5215316464254485
WT,STE23,Q06010,normed_ratio,(Intercept),-0.0373757215023459,0.09024543093948255,-0.41415638568349894,0.6831675243710138,0.4846041542142767
WT,STE23,Q06010,normed_ratio,samplingTime,0.005611549369764111,0.005227777449861293,1.073410148688139,0.29586827436922336,0.28674074753719425
WT,STE23,Q06010,normed_ratio,nutrientP,-0.04080892848378629,0.12762631237682073,-0.31975325247427533,0.7524715530560167,0.5095975317498049
WT,STE23,Q06010,normed_ratio,samplingTime:nutrientP,-0.0027485734819661365,0.007393193770662071,-0.371770789083484,0.7139731974665914,0.4963100816836645
WT,STE23,Q06010,ratio,(Intercept),-0.20711429374808457,0.1534615591644011,-1.3496167696706776,0.19221863378524626,0.2099983526066493
WT,STE23,Q06010,ratio,samplingTime,-0.036699145807291146,0.008889789433862842,-4.128235666358683,5.212428780688444e-4,0.0012988347125649894
WT,STE23,Q06010,ratio,nutrientP,0.018727052810716478,0.21702741827321717,0.08628887980937447,0.932094815316556,0.5602497390265541
WT,STE23,Q06010,ratio,samplingTime:nutrientP,0.008180602183207476,0.012572060784009867,0.6506969958029639,0.5226480295907167,0.4181861461253871
WT,STE24,P47154,intensity,(Intercept),27.570301831498995,0.43853094114399777,62.8696843136683,1.847350991471092e-24,8.269971815013317e-24
WT,STE24,P47154,intensity,samplingTime,-0.05962846818690268,0.025403415345386197,-2.347261869169591,0.029318083082402243,0.04516452184519126
WT,STE24,P47154,intensity,nutrientP,-0.41296744989997763,0.6201764044860791,-0.6658870716666347,0.5130910388701344,0.4133685183555772
WT,STE24,P47154,intensity,samplingTime:nutrientP,-0.031882568994016924,0.03592585451204196,-0.8874547154704485,0.38538231686083246,0.34419506010821027
WT,STE24,P47154,normed_intensity,(Intercept),27.01197499761883,0.2123922847840907,127.17964320162616,1.4548684905870899e-30,1.7071378488124047e-29
WT,STE24,P47154,normed_intensity,samplingTime,0.009395566431675753,0.012303554710302918,0.7636464950903957,0.4539928829655847,0.38365551660795555
WT,STE24,P47154,normed_intensity,nutrientP,-0.3853673996818969,0.3003680496850698,-1.2829839927580424,0.21416682283857716,0.2270352156271612
WT,STE24,P47154,normed_intensity,samplingTime:nutrientP,-0.04400962096320338,0.017399853936709758,-2.5293097932479207,0.019942946879851115,0.03247405276850911
WT,STE24,P47154,normed_ratio,(Intercept),0.05954608774109971,0.12287335728492178,0.48461350008548043,0.6332155465029174,0.46581807076794046
WT,STE24,P47154,normed_ratio,samplingTime,0.003532580857450924,0.007117862474761949,0.4962979925471331,0.6250946674435438,0.462796109967049
WT,STE24,P47154,normed_ratio,nutrientP,-0.15937197676214046,0.1737691683266513,-0.9171476061999273,0.3699931932866013,0.33465337018772684
WT,STE24,P47154,normed_ratio,samplingTime:nutrientP,-0.018359669340134017,0.01006617764691487,-1.8238968140762921,0.08314745799834408,0.10841980797461259
WT,STE24,P47154,ratio,(Intercept),-0.09437120519437563,0.18329415106202088,-0.5148620654155158,0.612292866364148,0.45734055287672554
WT,STE24,P47154,ratio,samplingTime,-0.03850165158195177,0.010617945081962909,-3.626092552254384,0.0016831356530817177,0.0036962392203706094
WT,STE24,P47154,ratio,nutrientP,-0.10747370296038965,0.25921707433557273,-0.4146088880752439,0.6828415749018111,0.4844650375266548
WT,STE24,P47154,ratio,samplingTime:nutrientP,-0.008166667572416332,0.015016041939444646,-0.5438628638192501,0.5925475632580519,0.4482795519141114
WT,STH1,P32597,intensity,(Intercept),25.62747513467195,0.48155283705856816,53.21840754009522,5.08029861367477e-23,2.127287573770152e-22
WT,STH1,P32597,intensity,samplingTime,-0.09492101839143632,0.027895606861024172,-3.40272283246364,0.0028235721081284726,0.005850858311306483
