Protein IDs,Gene names,genotype,nutrient,samplingTime,replicate,ratio,normalized_ratio,intensity,normalized_intensity
O13563,RPN13,WT,C,T06,R2,0.7383,1.1041,90760001,86387566.43
O13563,RPN13,WT,C,T06,R3,0.9794,1.4423,115870001,95837199.43
O13563,RPN13,WT,C,T16,R1,0.43977,1.0354,45433001,97722107.02
O13563,RPN13,WT,C,T16,R2,0.39722,1.0146,87252001,101209373.3
O13563,RPN13,WT,C,T16,R3,0.64587,1.124,89082001,116941193.1
O13563,RPN13,WT,C,T30,R1,0.41521,1.0497,44003001,112507959.3
O13563,RPN13,WT,C,T30,R2,0.43502,1.1711,83083001,115585628
O13563,RPN13,WT,C,T30,R3,0.56037,1.0875,67321001,116236113.5
O13563,RPN13,WT,P,T00,R1,1.1805,1.0911,247010001,88614189.19
O13563,RPN13,WT,P,T00,R2,1.0247,1.0561,216180001,80241028.7
O13563,RPN13,WT,P,T00,R3,1.0574,0.97742,359090001,79877600.11
O13563,RPN13,WT,P,T06,R1,0.79521,0.96803,73688001,74577427.28
O13563,RPN13,WT,P,T06,R2,0.48376,1.016,61646001,111645587.1
O13563,RPN13,WT,P,T06,R3,0.86974,0.99412,77745001,79320611.87
O13563,RPN13,WT,P,T16,R1,0.55285,0.91094,64096001,102373746.3
O13563,RPN13,WT,P,T16,R2,NaN,NaN,52334001,38698409.2
O13563,RPN13,WT,P,T16,R3,0.5829,0.90996,64634001,75509620.48
O13563,RPN13,WT,P,T30,R1,0.4347,0.85188,60436001,121126257.2
O13563,RPN13,WT,P,T30,R2,0.4338,0.88248,85317001,119132853.5
O13563,RPN13,WT,P,T30,R3,0.43344,0.79305,43375001,84006311.09
O13585,NA,rim15KO,C,T00,R1,0.93825,NA,NA,NA
O13585,NA,rim15KO,C,T00,R2,1.079,NA,NA,NA
O13585,NA,rim15KO,C,T06,R1,0.55812,NA,NA,NA
O13585,NA,rim15KO,P,T00,R1,0.93825,NA,NA,NA
O13585,NA,rim15KO,P,T00,R2,0.96714,NA,NA,NA
O13585,NA,WT,C,T00,R1,1.2802,NA,NA,NA
O13585,NA,WT,C,T00,R2,0.96714,NA,NA,NA
O13585,NA,WT,C,T06,R1,0.71626,NA,NA,NA
O13585,NA,WT,P,T00,R1,1.2802,NA,NA,NA
O13585,NA,WT,P,T00,R2,1.079,NA,NA,NA
O14455,RPL36B,rim15KO,C,T00,R1,0.93789,1.0096,7066300001,3219942179
O14455,RPL36B,rim15KO,C,T00,R2,0.99924,1.0321,7382100001,2790594580
O14455,RPL36B,rim15KO,C,T00,R3,0.86866,1.0016,9249400001,2828100061
O14455,RPL36B,rim15KO,C,T06,R1,0.66184,0.91925,2175500001,2403503889
O14455,RPL36B,rim15KO,C,T06,R2,0.77505,0.94898,2156000001,2817082796
O14455,RPL36B,rim15KO,C,T06,R3,0.63514,0.99824,3977700001,3527482823
O14455,RPL36B,rim15KO,C,T16,R1,0.46695,1.0305,1681200001,2692680753
O14455,RPL36B,rim15KO,C,T16,R2,0.55301,0.98681,1477900001,3168410141
O14455,RPL36B,rim15KO,C,T16,R3,0.45971,0.97684,2191100001,2855416328
O14455,RPL36B,rim15KO,C,T30,R1,0.46096,0.98674,1678100001,2923527259
O14455,RPL36B,rim15KO,C,T30,R2,0.49829,0.93263,1267800001,3182647298
O14455,RPL36B,rim15KO,C,T30,R3,0.37062,0.90346,1530600001,3059448965
O14455,RPL36B,rim15KO,P,T00,R1,0.93789,1.0096,7066300001,3219942179
O14455,RPL36B,rim15KO,P,T00,R2,0.94492,1.0082,7382100001,2790594580
O14455,RPL36B,rim15KO,P,T00,R3,0.86866,1.0016,9249400001,2828100061
O14455,RPL36B,rim15KO,P,T06,R1,0.51095,0.4826,2100400001,1769513795
O14455,RPL36B,rim15KO,P,T06,R2,0.41479,0.54755,1803700001,1642038766
O14455,RPL36B,rim15KO,P,T06,R3,0.39666,0.38455,1360700001,1511233654
O14455,RPL36B,rim15KO,P,T16,R1,0.18431,0.23048,817880001,1087386903
O14455,RPL36B,rim15KO,P,T16,R2,0.22516,0.26576,1039300001,717371454.8
O14455,RPL36B,rim15KO,P,T16,R3,0.16452,0.24187,692370001,929762776.5
O14455,RPL36B,rim15KO,P,T30,R1,0.1027,0.13291,462250001,680218088.5
O14455,RPL36B,rim15KO,P,T30,R2,0.091319,0.14837,446900001,520335282.8
O14455,RPL36B,rim15KO,P,T30,R3,0.085184,0.14974,328390001,770348463.5
O14455,RPL36B,WT,C,T00,R1,1.0848,1.0181,7965600001,2857638082
O14455,RPL36B,WT,C,T00,R2,0.94492,1.0082,7892500001,2929513906
O14455,RPL36B,WT,C,T00,R3,1.1074,1.026,12399000001,2758089507
O14455,RPL36B,WT,C,T06,R1,0.59251,0.91114,1971900001,2671911993
O14455,RPL36B,WT,C,T06,R2,0.62655,0.97102,2696100001,2566213259
O14455,RPL36B,WT,C,T06,R3,0.65629,0.9334,4370500001,3614882856
O14455,RPL36B,WT,C,T16,R1,0.38318,0.92053,1157200001,2489028236
O14455,RPL36B,WT,C,T16,R2,0.34219,0.90211,2402700001,2787050826
O14455,RPL36B,WT,C,T16,R3,0.48551,0.9216,2061300001,2705943724
O14455,RPL36B,WT,C,T30,R1,0.36516,0.91993,1039100001,2656796535
O14455,RPL36B,WT,C,T30,R2,0.32914,0.8872,1969800001,2740398967
O14455,RPL36B,WT,C,T30,R3,0.49746,0.95016,2015200001,3479434538
O14455,RPL36B,WT,P,T00,R1,1.0848,1.0181,7965600001,2857638082
O14455,RPL36B,WT,P,T00,R2,0.99924,1.0321,7892500001,2929513906
O14455,RPL36B,WT,P,T00,R3,1.1074,1.026,12399000001,2758089507
O14455,RPL36B,WT,P,T06,R1,0.41486,0.61149,1634600001,1654329892
O14455,RPL36B,WT,P,T06,R2,0.27571,0.6248,1144100001,2072051946
O14455,RPL36B,WT,P,T06,R3,0.46664,0.4769,1552200001,1583657499
O14455,RPL36B,WT,P,T16,R1,0.18342,0.29536,654590001,1045507202
O14455,RPL36B,WT,P,T16,R2,0.26095,0.32935,1167200001,863086758
O14455,RPL36B,WT,P,T16,R3,0.20723,0.29677,873330001,1020280594
O14455,RPL36B,WT,P,T30,R1,0.10486,0.19752,472130001,946246260.1
O14455,RPL36B,WT,P,T30,R2,0.1255,0.22754,638540001,891628767.1
O14455,RPL36B,WT,P,T30,R3,0.12133,0.20925,467210001,904866577.1
O14467,MBF1,rim15KO,C,T00,R1,0.91307,1.0109,1903700001,867470094.5
O14467,MBF1,rim15KO,C,T00,R2,0.97645,1.0137,2148800001,812293200.5
O14467,MBF1,rim15KO,C,T00,R3,0.91586,1.0349,2467500001,754463738.5
O14467,MBF1,rim15KO,C,T06,R1,0.61875,0.91072,586040001,647460087.9
O14467,MBF1,rim15KO,C,T06,R2,0.83538,1.0532,490770001,641252191.9
O14467,MBF1,rim15KO,C,T06,R3,0.60396,0.94416,888070001,787553529.2
O14467,MBF1,rim15KO,C,T16,R1,0.31414,0.75295,380400001,609264668.4
O14467,MBF1,rim15KO,C,T16,R2,0.44687,0.77216,390670001,837541641.5
O14467,MBF1,rim15KO,C,T16,R3,0.25486,0.65319,464140001,604861912.5
O14467,MBF1,rim15KO,C,T30,R1,0.3198,0.74606,270270001,470854963.8
O14467,MBF1,rim15KO,C,T30,R2,0.43536,0.97642,292510001,734308379.6
O14467,MBF1,rim15KO,C,T30,R3,0.2065,0.62778,197610001,394993932.2
O14467,MBF1,rim15KO,P,T00,R1,0.91307,1.0109,1903700001,867470094.5
O14467,MBF1,rim15KO,P,T00,R2,1.0458,1.1021,2148800001,812293200.5
O14467,MBF1,rim15KO,P,T00,R3,0.91586,1.0349,2467500001,754463738.5
O14467,MBF1,rim15KO,P,T06,R1,0.91589,0.89766,1364400001,1149459447
O14467,MBF1,rim15KO,P,T06,R2,0.78829,0.92821,875660001,797176729.3
O14467,MBF1,rim15KO,P,T06,R3,0.76479,0.85656,885460001,983418058
O14467,MBF1,rim15KO,P,T16,R1,0.39209,0.532,694510001,923364158.8
O14467,MBF1,rim15KO,P,T16,R2,0.48568,0.61113,873400001,602859837.1
O14467,MBF1,rim15KO,P,T16,R3,0.34099,0.5844,546990001,734536362.5
O14467,MBF1,rim15KO,P,T30,R1,0.27481,0.42324,448300001,659690144.1
O14467,MBF1,rim15KO,P,T30,R2,0.20799,0.41075,504590001,587504990.5
O14467,MBF1,rim15KO,P,T30,R3,0.19478,0.4119,89454001,209844246.2
O14467,MBF1,WT,C,T00,R1,1.2182,1.115,2853800001,1023793256
O14467,MBF1,WT,C,T00,R2,1.0458,1.1021,2111900001,783888554.9
O14467,MBF1,WT,C,T00,R3,1.1508,1.0286,3250000001,722944664.9
O14467,MBF1,WT,C,T06,R1,0.66884,1.0634,666270001,902791625.1
O14467,MBF1,WT,C,T06,R2,0.59568,0.90491,662550001,630631132.6
O14467,MBF1,WT,C,T06,R3,0.69613,0.96437,1020400001,843982718.1
O14467,MBF1,WT,C,T16,R1,0.35805,0.86386,449780001,967434429.2
O14467,MBF1,WT,C,T16,R2,0.26843,0.71099,671240001,778615723.3
O14467,MBF1,WT,C,T16,R3,0.39278,0.76896,600930001,788862738.9
O14467,MBF1,WT,C,T30,R1,0.31688,0.83723,292740001,748484861.4
O14467,MBF1,WT,C,T30,R2,0.24813,0.66863,506310001,704381867.8
O14467,MBF1,WT,C,T30,R3,0.38177,0.78946,487090001,841007230.9
O14467,MBF1,WT,P,T00,R1,1.2182,1.115,2853800001,1023793256
O14467,MBF1,WT,P,T00,R2,0.97645,1.0137,2111900001,783888554.9
O14467,MBF1,WT,P,T00,R3,1.1508,1.0286,3250000001,722944664.9
O14467,MBF1,WT,P,T06,R1,0.7688,1.0209,1052800001,1065507470
O14467,MBF1,WT,P,T06,R2,0.4768,1.0195,517800001,937775105.9
O14467,MBF1,WT,P,T06,R3,0.88325,1.0376,996180001,1016368978
O14467,MBF1,WT,P,T16,R1,0.41934,0.7369,771640001,1232458757
O14467,MBF1,WT,P,T16,R2,0.55174,0.81072,1030400001,761929914
O14467,MBF1,WT,P,T16,R3,0.42326,0.68372,608990001,711461508.5
O14467,MBF1,WT,P,T30,R1,0.29994,0.62386,524410001,1051026203
O14467,MBF1,WT,P,T30,R2,0.28087,0.66047,689760001,963150089.8
O14467,MBF1,WT,P,T30,R3,0.29123,0.58105,318820001,617473004.5
O43137,YBR085C-A,rim15KO,C,T00,R1,0.84126,0.92567,61370001,27964826.67
O43137,YBR085C-A,rim15KO,C,T00,R2,1.0341,1.0707,124000001,46874701.06
O43137,YBR085C-A,rim15KO,C,T00,R3,1.0737,1.212,158170001,48362119.64
O43137,YBR085C-A,rim15KO,C,T06,R1,NaN,NaN,159710001,176448452.5
O43137,YBR085C-A,rim15KO,C,T06,R2,NaN,NaN,65163001,85143584.85
O43137,YBR085C-A,rim15KO,C,T06,R3,NaN,NaN,117610001,104298277.4
O43137,YBR085C-A,rim15KO,C,T16,R1,NaN,NaN,94782001,151806846.1
O43137,YBR085C-A,rim15KO,C,T16,R2,NaN,NaN,40359001,86524032.72
O43137,YBR085C-A,rim15KO,C,T16,R3,NaN,NaN,124800001,162637926.3
O43137,YBR085C-A,rim15KO,C,T30,R1,NaN,NaN,66841001,116448059.3
O43137,YBR085C-A,rim15KO,C,T30,R2,1.9311,3.3877,39569001,99332839.59
O43137,YBR085C-A,rim15KO,C,T30,R3,NaN,NaN,54787001,109511324.6
O43137,YBR085C-A,rim15KO,P,T00,R1,0.84126,0.92567,61370001,27964826.67
O43137,YBR085C-A,rim15KO,P,T00,R2,1.3554,1.3942,124000001,46874701.06
O43137,YBR085C-A,rim15KO,P,T00,R3,1.0737,1.212,158170001,48362119.64
O43137,YBR085C-A,rim15KO,P,T06,R1,1.6548,1.6475,106300001,89554045.96
O43137,YBR085C-A,rim15KO,P,T06,R2,1.7186,1.9123000000000001,106880001,97300607
O43137,YBR085C-A,rim15KO,P,T06,R3,1.5767,1.6508,116020001,128855243.5
O43137,YBR085C-A,rim15KO,P,T16,R1,0.497,0.76544,61521001,81793332.36
O43137,YBR085C-A,rim15KO,P,T16,R2,0.53539,0.69275,96227001,66420190.16
O43137,YBR085C-A,rim15KO,P,T16,R3,0.31983,0.5579,80154001,107636388.6
O43137,YBR085C-A,rim15KO,P,T30,R1,0.50805,0.83608,44821001,65955771.89
O43137,YBR085C-A,rim15KO,P,T30,R2,0.43771,0.79059,78965001,91940648.99
O43137,YBR085C-A,rim15KO,P,T30,R3,0.49677,0.97428,81475001,191126835.9
O43137,YBR085C-A,WT,C,T00,R1,1.1642,1.0484,80039001,28713781.42
O43137,YBR085C-A,WT,C,T00,R2,1.3554,1.3942,87272001,32393353.24
