Protein IDs,Gene names,rim15KO_C_T00_R1,WT_C_T00_R1,rim15KO_C_T00_R3,WT_C_T00_R3,rim15KO_C_T06_R1,WT_C_T06_R1,rim15KO_C_T06_R3,WT_C_T06_R3,rim15KO_C_T16_R1,WT_C_T16_R1,rim15KO_C_T16_R3,WT_C_T16_R3,rim15KO_C_T30_R1,WT_C_T30_R1,rim15KO_C_T30_R3,WT_C_T30_R3,rim15KO_N_T06_R1,WT_N_T06_R1,rim15KO_N_T06_R3,WT_N_T06_R3,rim15KO_N_T16_R1,WT_N_T16_R1,rim15KO_N_T16_R3,WT_N_T16_R3,rim15KO_N_T30_R1,WT_N_T30_R1,rim15KO_N_T30_R3,WT_N_T30_R3,rim15KO_P_T06_R1,WT_P_T06_R1,rim15KO_P_T06_R3,WT_P_T06_R3,rim15KO_P_T16_R1,WT_P_T16_R1,rim15KO_P_T16_R3,WT_P_T16_R3,rim15KO_P_T30_R1,WT_P_T30_R1,rim15KO_P_T30_R3,WT_P_T30_R3,rim15KO_N_T00_R1,WT_N_T00_R1,rim15KO_N_T00_R3,WT_N_T00_R3,rim15KO_P_T00_R1,WT_P_T00_R1,rim15KO_P_T00_R3,WT_P_T00_R3,WT_C_T00_R2,rim15KO_C_T00_R2,WT_C_T06_R2,rim15KO_C_T06_R2,WT_C_T16_R2,rim15KO_C_T16_R2,WT_C_T30_R2,rim15KO_C_T30_R2,WT_N_T06_R2,rim15KO_N_T06_R2,WT_N_T16_R2,rim15KO_N_T16_R2,WT_N_T30_R2,rim15KO_N_T30_R2,WT_P_T06_R2,rim15KO_P_T06_R2,WT_P_T16_R2,rim15KO_P_T16_R2,WT_P_T30_R2,rim15KO_P_T30_R2,WT_N_T00_R2,rim15KO_N_T00_R2,WT_P_T00_R2,rim15KO_P_T00_R2
Q12517,DCP1,0.98498,0.99372,1.1222,0.88924,NA,NA,1.4085,1.0502,NA,NA,NA,NA,NA,NA,1.7495,1.1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2263,0.94347,NA,NA,0.82576,0.79204,NA,NA,NA,NA,0.94892,0.73358,0.98498,0.99372,1.1222,0.88924,0.98498,0.99372,1.1222,0.88924,0.90457,1.0406,0.97006,0.87187,1.0832,1.6599,NA,NA,NA,NA,NA,NA,NA,NA,1.2403,1.141,NA,NA,1.0348,1.0178,0.90457,1.0406,1.0406,0.90457
P53550,DCP2,1.0075,1.0097,1.1164,0.94707,1.3812,1.0926,1.4383,1.1755,1.4335,1.0167,1.6927,1.2007,1.6403,1.1098,1.3433,1.0812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.142,1.1957,1.129,1.1465,0.99707,0.85878,0.94082,0.88824,0.9458,0.90321,0.93846,1.0217,1.0075,1.0097,1.1164,0.94707,1.0075,1.0097,1.1164,0.94707,0.94428,0.98957,1.2814,1.1611,1.0962,1.2523,1.2826,1.3433,1.1447,1.3809,NA,NA,NA,NA,1.253,1.2112,1.0866,1.2732,0.84948,0.878,0.94428,0.98957,0.98957,0.94428
Q06151,DCS1,0.89313,1.1419,0.8979,1.178,1.3168,1.6422,1.1743,1.3852,1.946,1.8736,1.0508,1.3924,1.8987,1.768,1.1299,1.3356,NA,NA,1.2899,1.1855,NA,NA,NA,NA,NA,NA,NA,NA,1.3742,1.8159,1.3177,2.0376,1.2114,1.6933,0.95338,1.5724,1.2387,1.5604,0.94749,1.7423,0.89313,1.1419,0.8979,1.178,0.89313,1.1419,0.8979,1.178,1.074,1.1624,1.027,1.7297,0.8992,1.6647,1.0602,1.8208,0.80735,2.6385,NA,NA,NA,NA,1.7963,1.2615,1.7962,1.0427,1.9726,1.0771,1.074,1.1624,1.1624,1.074
P40087,DDI1,0.98755,1.0794,1.1148,1.1676,1.5807,1.5746,1.4868,1.3882,NA,NA,1.4747,1.2605,1.6883,1.3256,1.6618,1.1859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3081,1.3462,1.1301,1.1568,1.0605,0.99744,0.95795,0.87044,0.86933,0.85864,0.925,0.79662,0.98755,1.0794,1.1148,1.1676,0.98755,1.0794,1.1148,1.1676,1.2277,1.13,1.5292,1.4219,1.4118,1.4521,1.2982,1.6532,NA,NA,NA,NA,NA,NA,1.3823,1.2422,1.0985,1.0242,0.86661,0.96293,1.2277,1.13,1.13,1.2277
P18899,DDR48,0.89926,1.2926,0.94825,1.1731,1.2393,1.3023,1.2276,1.3976,1.0204,1.1279,1.2738,1.274,1.0789,1.1243,0.96093,1.3093,2.0917,1.4348,1.7169,1.4653,2.4679,0.959,2.0435,0.78726,NA,NA,NA,NA,1.5605,1.8439,1.8747,2.2172,1.4502,1.9878,1.2158,1.6115,1.1818,1.5667,1.1136,1.61,0.89926,1.2926,0.94825,1.1731,0.89926,1.2926,0.94825,1.1731,1.017,1.0659,1.0074,1.3669,0.87511,2.0979,0.85188,1.741,0.99854,2.9562,NA,NA,NA,NA,2.3393,1.477,2.4118,1.0913,2.2696,0.87158,1.017,1.0659,1.0659,1.017
P06634,DED1,0.98068,0.95117,0.95823,0.96606,0.7162,0.79556,0.66853,0.70096,0.54264,0.52735,0.43376,0.48369,0.38541,0.43507,0.39262,0.40084,0.67609,0.85774,0.86815,0.87176,0.75116,0.69252,0.61461,0.44917,NA,NA,NA,NA,0.63058,0.63466,0.61479,0.5726,0.31615,0.29198,0.35266,0.28229,0.19734,0.14617,0.18512,0.16603,0.98068,0.95117,0.95823,0.96606,0.98068,0.95117,0.95823,0.96606,0.9218,0.98894,0.81379,0.74182,0.6206,0.45988,0.47086,0.40059,0.90619,0.95807,0.67823,0.49551,NA,NA,0.64572,0.62809,0.29983,0.41705,0.18566,0.22653,0.9218,0.98894,0.98894,0.9218
P38707,DED81,1.0273,0.98116,1.0081,1.0126,0.97119,0.93326,1.0107,0.99431,1.1066,0.93543,1.0749,0.93822,0.97764,0.93702,1.1883,0.98984,0.77501,1.0462,1.0494,1.0411,0.40568,0.94388,0.46845,0.98823,0.36971,1.0002,0.48195,0.87892,0.7616,0.78721,0.7171,0.76585,0.56819,0.56128,0.64153,0.69311,0.5901,0.48014,0.54185,0.64087,1.0273,0.98116,1.0081,1.0126,1.0273,0.98116,1.0081,1.0126,0.92366,1.0109,0.97374,0.97621,0.98836,0.92745,1.0278,1.0284,1.0526,0.92488,0.94196,0.51332,0.99737,0.40388,0.73837,0.75833,0.68167,0.71634,0.58829,0.57392,0.92366,1.0109,1.0109,0.92366
P35732,DEF1,1.0649,1.0025,0.68439,0.76114,NA,NA,NA,NA,0.63745,0.48143,NA,NA,0.63207,0.99191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84302,0.89818,0.76078,0.78086,0.72067,0.93753,0.76698,0.7461,NA,NA,NA,NA,1.0649,1.0025,0.68439,0.76114,1.0649,1.0025,0.68439,0.76114,1.11,1.0931,1.0491,1.0024,1.0062,0.66688,NA,NA,NA,NA,NA,NA,NA,NA,0.84089,0.71041,0.8276,0.7533,0.68765,0.5762,1.11,1.0931,1.0931,1.11
P39517,DHH1,1.0041,0.9461,0.86944,0.93817,0.94559,0.94965,0.77251,0.91585,0.67167,0.71201,0.8927,0.78103,1.1448,0.80484,0.81128,0.72037,0.78871,0.64054,0.77291,0.73285,NA,NA,0.50507,0.71125,NA,NA,NA,NA,0.74782,0.74873,0.70667,0.75216,0.51494,0.51099000000000006,0.53455,0.53301,0.48808,0.38368,0.42728,0.5315,1.0041,0.9461,0.86944,0.93817,1.0041,0.9461,0.86944,0.93817,0.86398,0.94835,0.85717,0.9408,0.67314,0.69383,0.70262,0.68399,0.75086,0.73602,NA,NA,NA,NA,0.82298,0.70825,0.55745,0.52223,0.50099,0.41433,0.86398,0.94835,0.94835,0.86398
Q03063,DIG1,1.0168,0.9498,1.0013,0.93526,1.3065,1.2093,1.0813,1.1025,NA,NA,0.99459,0.9368,1.0715,0.98297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88111,0.81611,0.72873,0.72749,0.88627,0.74639,NA,NA,0.75674,0.63833,NA,NA,1.0168,0.9498,1.0013,0.93526,1.0168,0.9498,1.0013,0.93526,0.95278,1.0747,0.82445,0.92556,NA,NA,1.0793,1.0625,NA,NA,NA,NA,NA,NA,NA,NA,0.82764,0.77888,0.82763,0.58104,0.95278,1.0747,1.0747,0.95278
Q08162,DIS3,1.0338,0.97686,1.0479,1.0712,0.9786,1.0403,0.99511,0.88929,1.0167,1.1031,0.98739,0.93514,0.92164,0.99893,1.3295,1.0186,0.775,1.1796,1.5339,1.1077,NA,NA,NA,NA,NA,NA,NA,NA,0.97327,0.93309,0.79939,0.89004,0.8117,0.84972,0.72592,0.95471,0.79552,0.82438,0.99871,0.76027,1.0338,0.97686,1.0479,1.0712,1.0338,0.97686,1.0479,1.0712,0.88198,1.0089,1.1413,1.1947,1.0229,0.8688,1.1102,1.0502,NA,NA,NA,NA,NA,NA,0.55121,1.0752,1.0742,0.86638,0.77404,0.85312,0.88198,1.0089,1.0089,0.88198
P32891,DLD1,0.97139,0.77453,0.98313,0.95048,2.5913,1.3578,3.692,1.4982,2.3314,1.9547,2.4369,1.3083,3.5295,1.2491,8.8811,1.443,1.6938,1.4241,1.5273,1.3269,NA,NA,NA,NA,NA,NA,NA,NA,1.8395,2.4725,2.1371000000000002,2.4164,1.8587,2.2621000000000002,1.9104,2.1058,1.7096,1.8143,1.6263,1.5642,0.97139,0.77453,0.98313,0.95048,0.97139,0.77453,0.98313,0.95048,0.86697,0.98126,1.2619,1.5794,1.2675,1.8919,2.1137,1.9078,1.5951,1.3589,NA,NA,NA,NA,2.2399,1.9904,2.0851,2.007,1.75,1.9187,0.86697,0.98126,0.98126,0.86697
P46681,DLD2,1.0337,0.90407,0.97058,1.0697,1.3829,1.1668,1.8995,1.3157,1.6492,1.2415,1.6712,1.1956,1.4518,1.1072,1.6373,1.1519,0.93372,0.86996,0.86973,1.2406,NA,NA,NA,NA,NA,NA,NA,NA,1.0911,1.188,1.0545,1.2905,0.94282,1.088,1.0147,1.1045,1.0693,0.92907,1.1413,0.84177,1.0337,0.90407,0.97058,1.0697,1.0337,0.90407,0.97058,1.0697,0.97521,0.86188,1.2566,1.278,1.4176,1.2389,1.1359,1.2059,NA,NA,NA,NA,NA,NA,1.0266,1.2103,1.1138,1.0064,0.81811,1.0257,0.97521,0.86188,0.86188,0.97521
P39976,DLD3,1.0312,1.0372,1.2151,0.93841,0.5962,0.51316,0.63347,0.42481,0.2887,0.23427,0.23916,0.14027,0.16322,0.14369,0.17618,0.077454,0.99636,0.88617,1.0345,0.7727,NA,NA,NA,NA,NA,NA,NA,NA,1.5791,1.3693,1.6347,1.0364,1.2097,0.70749,1.3914,0.59136,0.82207,0.37307,0.86304,0.37396,1.0312,1.0372,1.2151,0.93841,1.0312,1.0372,1.2151,0.93841,1.3646,0.80556,0.62677,0.39859,0.28947,0.1945,0.27867,0.12808,1.2715,0.70893,0.70155,0.12936,0.25254,0.09146,1.1035,1.9156,0.56813,1.7719,0.37439,1.0631,1.3646,0.80556,0.80556,1.3646
P54861,DNM1,1.0214,1.0489,0.96955,1.0365,1.027,1.252,2.0838,1.31,2.9815,1.6428,3.3749,1.5041,1.167,1.3846,3.4244,1.8906,NA,NA,1.283,0.78346,NA,NA,NA,NA,NA,NA,NA,NA,1.209,1.2819,1.164,1.2393,0.96375,0.94616,1.168,1.1001,1.1453,0.80424,0.90512,0.95448,1.0214,1.0489,0.96955,1.0365,1.0214,1.0489,0.96955,1.0365,0.9976,1.0432,1.329,1.2682,1.3797,2.5673,1.4645,2.3135,NA,NA,NA,NA,NA,NA,1.3689,1.1266,1.4206,1.2284,1.1326,1.0262,0.9976,1.0432,1.0432,0.9976
P36037,DOA1,1.1093,1.1395,1.0963,1.095,1.234,1.1352,1.3108,1.3535,1.2178,1.0851,1.3496,1.1262,1.3982,1.1143,1.4301,1.2299,1.5638,1.098,1.5702,1.2816,NA,NA,NA,NA,NA,NA,NA,NA,1.0627,1.1834,0.99241,1.2939,0.78462,0.83048,0.82142,1.0996,0.83597,0.90169,0.83392,0.93263,1.1093,1.1395,1.0963,1.095,1.1093,1.1395,1.0963,1.095,1.117,1.0219,1.0547,1.23,1.1881,1.3991,1.1525,1.3612,NA,NA,NA,NA,NA,NA,1.3418,0.96275,0.86082,0.87611000000000006,0.86471,0.85411,1.117,1.0219,1.0219,1.117
P38773;P38774,DOG2;DOG1,0.80667,0.92413,0.84309,0.863,0.85693,0.87575,0.97058,0.92091,1.2357,0.88193,1.3461,0.94293,1.2506,1.0449,1.2138,0.87711,0.64271,1.6266,0.72063,0.87853,NA,NA,0.98909,1.1535,NA,NA,NA,NA,0.58578,0.66416,0.75786,0.80016,0.63035,0.57102,NA,NA,0.62352,0.5729,0.58579,0.55594,0.80667,0.92413,0.84309,0.863,0.80667,0.92413,0.84309,0.863,0.947,0.90676,0.88347,0.96737,0.9166,1.2327,0.98067,1.0687,0.88876,0.67625,NA,NA,NA,NA,0.74802,0.77526,0.62031,0.65912,0.56208,0.64347,0.947,0.90676,0.90676,0.947
P32469,DPH5,1.0571,1.1134,1.0062,0.99087,0.83399,0.9754,0.72025,0.89809,0.65295,0.87814,0.65705,0.92805,0.6476,0.87567,0.59371,0.91812,NA,NA,0.73267,1.0808,NA,NA,NA,NA,NA,NA,NA,NA,0.84884,0.80816,0.80794,0.77028,0.71186,0.74094,0.74291,0.73653,0.72435,0.6491,0.71197,0.71739,1.0571,1.1134,1.0062,0.99087,1.0571,1.1134,1.0062,0.99087,1.2148,1.0521,0.95383,0.81114,0.86892,0.65146,0.92914,0.67334,1.0981,0.73498,NA,NA,NA,NA,0.80615,0.78168,0.75219,0.79369,0.6564,0.67994,1.2148,1.0521,1.0521,1.2148
Q05567,DPL1,0.92063,0.85584,1.0042,1.2082,1.0484,0.79392,0.91426,1.1228,1.03,1.0578,1.778,1.4318,NA,NA,3.1681,2.1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0525,0.8907,0.76333,0.95548,0.76888,0.61341,0.68757,0.86119,0.8284,0.59426,0.64448,0.74683,0.92063,0.85584,1.0042,1.2082,0.92063,0.85584,1.0042,1.2082,0.84506,0.97934,1.0292,1.0662,0.73466,0.95867,0.74399,0.77565,NA,NA,NA,NA,NA,NA,NA,NA,0.9389,0.79681,0.80788,0.67521,0.84506,0.97934,0.97934,0.84506
P14020,DPM1,0.78437,0.93809,0.9118,1.0372,0.99773,0.91171,0.86982,1.0751,1.0222,1.0199,0.89554,1.0678,0.95472,0.99996,0.94048,0.92666,0.98617,1.0425,0.95186,1.0765,0.64082,0.72014,0.74217,0.97697,NA,NA,0.96867,0.6955,0.85554,0.84173,0.91925,0.96788,0.68234,0.61888,0.72518,0.90171,0.83516,0.59935,0.6077,0.82038,0.78437,0.93809,0.9118,1.0372,0.78437,0.93809,0.9118,1.0372,0.96762,0.88788,0.94718,1.0778,0.97682,1.0157,0.93477,0.96354,0.95536,1.0041,1.0808,0.80385,NA,NA,0.99028,0.8366,0.96707,0.73924,0.86254,0.71573,0.96762,0.88788,0.88788,0.96762
P04802,DPS1,0.96354,0.99221,0.98383,0.98451,1.1387,1.0157,1.1341,1.036,1.5717,1.0908,1.5162,1.0864,1.5788,1.1385,1.3372,1.0624,0.95526,0.991,1.0593,0.9933,0.87805,1.0174,0.7268,1.0234,0.80186,0.80436,0.87172,0.91799,0.86998,0.89996,0.8529,0.84227,0.70949,0.71366,0.78655,0.79307,0.68154,0.60925,0.65892,0.76304,0.96354,0.99221,0.98383,0.98451,0.96354,0.99221,0.98383,0.98451,0.93777,0.96516,1.0337,1.0828,1.029,1.3021,1.0381,1.4283,1.0434,1.0673,0.8015,0.90279,0.55025,0.8628,0.90271,0.89582,0.81417,0.82491,0.73913,0.72457,0.93777,0.96516,0.96516,0.93777
P32892,DRS1,1.0422,1.0744,1.003,1.1333,0.72851,0.79139,0.89752,0.86125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7025,0.79739,0.81517,0.66364,NA,NA,NA,NA,NA,NA,NA,NA,1.0422,1.0744,1.003,1.1333,1.0422,1.0744,1.003,1.1333,0.91157,0.97032,0.88184,0.90471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70149,0.61893,0.55731,0.70336,NA,NA,0.91157,0.97032,0.97032,0.91157
P53753,DSE4,1.0965,1.0859,0.96336,0.63772,1.2213,0.74368,0.77831,0.69876,1.3035,0.46798,0.73435,0.62377,1.0131,0.57748,0.76652,0.6093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8675,0.90225,0.8441,0.93274,0.65955,0.72897,0.67792,0.79853,0.62169,0.60851,0.72608,0.81298,1.0965,1.0859,0.96336,0.63772,1.0965,1.0859,0.96336,0.63772,1.1271,0.9813,0.71937,0.76028,NA,NA,0.61268,0.60351,NA,NA,NA,NA,NA,NA,1.0256,0.8971,0.72745,0.98601,0.71791,0.91545,1.1271,0.9813,0.9813,1.1271
P48510,DSK2,1.0985,1.1401,1.0516,1.0953,0.81157,0.8457,0.76152,0.90889,NA,NA,0.73175,0.60939,0.68066,0.62868,0.872,0.55516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8398,0.77369,0.71523,0.69521,0.52995,0.57698,0.4287,0.48751,0.40917,0.41099,NA,NA,1.0985,1.1401,1.0516,1.0953,1.0985,1.1401,1.0516,1.0953,1.241,1.1074,0.73745,0.78949,NA,NA,0.70938,0.70002,NA,NA,NA,NA,NA,NA,0.82386,0.77632,0.48298,0.53838,0.45274,0.37137,1.241,1.1074,1.1074,1.241
P07273,DST1,0.97593,0.98423,1.0274,0.93969,1.1014,1.0534,1.2892,0.96681,1.2686,0.90748,1.3905,0.90338,1.3604,0.85984,1.2701,0.84329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98688,0.97619,0.94525,0.89981,0.92663,0.90088,0.8814,0.81099,0.93793,0.9678,1.0039,0.87118,0.97593,0.98423,1.0274,0.93969,0.97593,0.98423,1.0274,0.93969,1.017,1.0196,0.95922,1.0232,1.0737,1.2347,0.87804,1.1954,0.74111,1.3263,NA,NA,NA,NA,0.81618,0.9669,0.8699,0.89409,0.84758,0.89492,1.017,1.0196,1.0196,1.017
P43616,DUG1,0.90232,0.99486,0.93321,0.97421,1.1059,1.195,1.0327,1.228,1.1682,1.1866,1.1978,1.2133,1.0984,1.1532,1.1981,1.2077,1.0807,1.0656,0.84238,0.99604,2.5294,0.95391,2.3187,1.0382,2.3992,1.1902,3.0181,0.92681,0.87576,0.97418,0.92537,0.91784,0.72226,0.93499,0.83433,0.90574,0.72761,0.8775,0.83895,0.865,0.90232,0.99486,0.93321,0.97421,0.90232,0.99486,0.93321,0.97421,1.0195,0.91225,1.0934,1.0908,1.1349,1.0436,1.0867,0.92661,1.0289,1.0401,1.0789,1.492,1.0857,2.1566,0.84696,0.86423,0.95394,0.83554,1.0329,0.92646,1.0195,0.91225,0.91225,1.0195
Q06053,DUS3,0.93456,0.92745,0.9221,0.97637,0.91868,1.0434,1.1183,1.0421,1.2449,1.1708,NA,NA,1.1509,1.0583,1.2759,1.0019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73409,0.7981,0.53362,0.85241,NA,NA,0.61288,0.64438,NA,NA,NA,NA,0.93456,0.92745,0.9221,0.97637,0.93456,0.92745,0.9221,0.97637,0.88576,0.86944,1.0267,0.93491,0.95717,1.3448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66485,0.62582,0.601,0.69175,0.88576,0.86944,0.86944,0.88576
P33317,DUT1,1.0279,0.98108,0.99341,0.86127,NA,NA,1.3251,0.97594,1.3715,0.85283,1.4515,0.83663,NA,NA,1.3493,0.64095,1.9413,1.0283,1.4414,0.89885,NA,NA,1.8025,1.0816,0.56982,0.39848,NA,NA,1.1243,1.0153,1.0986,0.94075,1.0801,1.0405,NA,NA,NA,NA,1.0535,0.87728,1.0279,0.98108,0.99341,0.86127,1.0279,0.98108,0.99341,0.86127,1.0147,1.0067,NA,NA,0.97264,1.1968,0.84307,0.93002,1.0614,1.5052,NA,NA,NA,NA,NA,NA,0.98082,1.2024,NA,NA,1.0147,1.0067,1.0067,1.0147
P38791,DYS1,1.0549,1.0095,1.0252,0.95423,0.89039,0.90292,0.863,0.8586,0.79774,0.87302,0.74796,0.85979,0.7893,0.81496,0.76785,0.83717,0.8265,0.88472,0.74255,0.93979,0.71816,0.94862,0.44494,0.95762,0.32603,0.86368,0.57896,0.90781,0.77919,0.72613,0.79547,0.70231,0.66289,0.6141,0.78925,0.65402,0.6199,0.53298,0.67424,0.59588,1.0549,1.0095,1.0252,0.95423,1.0549,1.0095,1.0252,0.95423,1.0505,1.0095,0.96204,0.83789,0.97734,0.77264,0.93028,0.71799,0.94692,0.87359,1.11,0.53153,1.4827,0.56329,0.75493,0.8233,0.64395,0.77025,0.57025,0.68741,1.0505,1.0095,1.0095,1.0505
P36041,EAP1,1.1214,1.125,1.0824,0.94031,1.0844,0.83853,1.1938,0.93936,NA,NA,0.7028,0.70444,1.0058,0.81429,1.0726,0.65752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.137,0.93234,1.0244,0.9022,0.90907,0.96308,0.9307,0.77725,0.7816,0.83536,NA,NA,1.1214,1.125,1.0824,0.94031,1.1214,1.125,1.0824,0.94031,1.1692,1.1075,1.0791,1.2128,1.055,0.95996,0.92987,1.2736,NA,NA,NA,NA,NA,NA,1.2603,1.1397,0.78704,0.96775,0.84215,0.91668,1.1692,1.1075,1.1075,1.1692
P36049,EBP2,1.0864,1.0957,1.1191,1.0945,1.074,1.432,1.0978,1.0586,1.0436,0.97879,NA,NA,1.1273,0.99979,0.80175,0.85248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73366,0.80323,0.85568,0.7328,0.64795,0.56782,0.64565,0.59993,0.59579,0.48694,NA,NA,1.0864,1.0957,1.1191,1.0945,1.0864,1.0957,1.1191,1.0945,1.1802,1.2405,1.1138,1.1511,1.2805,0.94488,1.0274,0.90621,NA,NA,NA,NA,NA,NA,0.77002,0.69123,0.66546,0.70073,0.57992,0.87398,1.1802,1.2405,1.2405,1.1802
P38836,ECM14,1.0369,1.0199,1.0063,0.93798,1.6306,1.3784,1.4802,1.1466,1.4397,1.2703,1.5106,1.2888,NA,NA,2.4124,1.3674,1.0041,0.86349,0.92871,0.95205,NA,NA,1.9731,0.63332,NA,NA,NA,NA,1.3353,1.4248,1.369,1.1695,1.1993,1.2124,1.4258,1.1958,0.96475,1.0973,1.007,0.94131,1.0369,1.0199,1.0063,0.93798,1.0369,1.0199,1.0063,0.93798,1.123,0.98312,1.3492,1.4824,1.4982,2.3473,1.4529,1.9471,NA,NA,NA,NA,NA,NA,1.3253,1.342,NA,NA,1.0162,0.9755,1.123,0.98312,0.98312,1.123
Q04217,ECM16,1.0289,1.0746,0.9436,1.0488,0.89776,0.74508,0.87781,0.97867,NA,NA,NA,NA,0.58327,0.49717,0.7537,0.77946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0289,1.0746,0.9436,1.0488,1.0289,1.0746,0.9436,1.0488,1.0265,1.0675,0.89097,0.93196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91633,0.69738,NA,NA,NA,NA,1.0265,1.0675,1.0675,1.0265
P38737,ECM29,1.0232,1.0389,0.94896,0.9896,0.95947,0.80397,0.54797,0.81122,0.75577,1.0704,0.58694,0.65699,0.83541,0.94713,0.60049,0.58371,NA,NA,0.9463,0.97039,NA,NA,NA,NA,NA,NA,NA,NA,0.66669,0.53617,0.71199,0.8798,NA,NA,0.52187,0.63276,NA,NA,0.37729,0.47333,1.0232,1.0389,0.94896,0.9896,1.0232,1.0389,0.94896,0.9896,0.90225,1.0245,0.88828,0.92789,0.79828,0.86397,1.0841,0.73067,1.0528,1.211,0.90179,3.1475,NA,NA,0.87433,0.59973,0.64363,0.45988,0.50564,0.49763,0.90225,1.0245,1.0245,0.90225
P38248,ECM33,0.92171,1.0711,0.92532,0.89509,1.3181,1.1761,1.1941,0.84839,1.3325,0.95136,1.2593,0.98232,1.2093,0.95916,1.4131,1.0672,1.9464,0.91995,1.4895,0.8713,3.2662,0.90068,NA,NA,NA,NA,1.4614,1.2016,1.3596,1.4939,1.3343,1.4297,1.0234,1.1105,1.1247,1.122,0.73507,0.90617,0.9439,0.82254,0.92171,1.0711,0.92532,0.89509,0.92171,1.0711,0.92532,0.89509,1.0523,0.96341,1.0153,1.2768,1.0568,1.2717,0.9734,1.1638,0.79176,1.3166,NA,NA,NA,NA,1.2104,1.2634,0.99909,1.1024,0.85147,0.91419,1.0523,0.96341,0.96341,1.0523
P34216,EDE1,1.0346,1.0656,0.97061,0.99588,1.1093,1.0569,1.1418,0.89731,1.2897,1.0167,1.1847,0.86887,1.9017,1.0948,1.6206,1.0582,0.85229,0.96892,1.0883,0.7596,NA,NA,NA,NA,NA,NA,NA,NA,0.93177,0.99963,0.91967,1.0181,0.69043,0.7162,0.7998,0.6969,0.69069,0.59266,0.6526,0.59431,1.0346,1.0656,0.97061,0.99588,1.0346,1.0656,0.97061,0.99588,1.0713,1.1166,0.99728000000000006,1.1112,0.94335,1.0356,1.3189,1.6625,0.90996,1.1246,NA,NA,NA,NA,1.0456,0.95199,0.76408,0.76236,0.72885,0.63701,1.0713,1.1166,1.1166,1.0713
P32471,EFB1,1.2347,0.996,1.1737,0.99258,1.1138,1.1319,1.2126,1.0599,1.2385,0.96554,1.1425,1.0802,1.0877,1.0968,1.1062,1.0477,1.3977,1.0705,1.4445,1.0399,1.1064,1.1414,1.2154,1.0213,NA,NA,1.0816,0.94208,0.90552,0.96093,0.86666,0.90059,0.81557,0.90539,1.0413,0.86592,0.77801,0.93125,0.92592,0.80624,1.2347,0.996,1.1737,0.99258,1.2347,0.996,1.1737,0.99258,1.1067,1.0976,1.0643,1.1068,1.0623,1.1066,0.97417,0.99176,1.0754,1.3242,1.4863,1.1169,NA,NA,1.1011,0.88678,0.88575,0.88016,0.75329,0.82452,1.1067,1.0976,1.0976,1.1067
Q3E705,EFG1,1.1031,1.1383,0.9444,0.87204,0.74436,0.87464,1.1137,0.84193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85457,0.80384,1.0221,0.69938,0.73761,0.55341,NA,NA,NA,NA,NA,NA,1.1031,1.1383,0.9444,0.87204,1.1031,1.1383,0.9444,0.87204,1.1192,1.1619,0.88794,0.92889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74605,0.6342,NA,NA,NA,NA,1.1192,1.1619,1.1619,1.1192
P53200,EFM5,0.92124,1.1621,0.88913,0.98499,1.1408,1.0938,1.1372,1.1436,NA,NA,1.0878,0.91299,1.1587,1.2177,0.99388,0.91603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2064,1.3327,0.99576,1.2928,NA,NA,0.77039,0.79812,0.69564,0.96576,0.6626,1.2588,0.92124,1.1621,0.88913,0.98499,0.92124,1.1621,0.88913,0.98499,1.0675,1.0706,1.217,1.1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86784,1.3605,0.86983,1.0623,0.66597,1.7423,1.0675,1.0706,1.0706,1.0675
