Protein IDs,Gene names,rim15KO_C_T00_R1,WT_C_T00_R1,rim15KO_C_T00_R3,WT_C_T00_R3,rim15KO_C_T06_R1,WT_C_T06_R1,rim15KO_C_T06_R3,WT_C_T06_R3,rim15KO_C_T16_R1,WT_C_T16_R1,rim15KO_C_T16_R3,WT_C_T16_R3,rim15KO_C_T30_R1,WT_C_T30_R1,rim15KO_C_T30_R3,WT_C_T30_R3,rim15KO_N_T06_R1,WT_N_T06_R1,rim15KO_N_T06_R3,WT_N_T06_R3,rim15KO_N_T16_R1,WT_N_T16_R1,rim15KO_N_T16_R3,WT_N_T16_R3,rim15KO_N_T30_R1,WT_N_T30_R1,rim15KO_N_T30_R3,WT_N_T30_R3,rim15KO_P_T06_R1,WT_P_T06_R1,rim15KO_P_T06_R3,WT_P_T06_R3,rim15KO_P_T16_R1,WT_P_T16_R1,rim15KO_P_T16_R3,WT_P_T16_R3,rim15KO_P_T30_R1,WT_P_T30_R1,rim15KO_P_T30_R3,WT_P_T30_R3,rim15KO_N_T00_R1,WT_N_T00_R1,rim15KO_N_T00_R3,WT_N_T00_R3,rim15KO_P_T00_R1,WT_P_T00_R1,rim15KO_P_T00_R3,WT_P_T00_R3,WT_C_T00_R2,rim15KO_C_T00_R2,WT_C_T06_R2,rim15KO_C_T06_R2,WT_C_T16_R2,rim15KO_C_T16_R2,WT_C_T30_R2,rim15KO_C_T30_R2,WT_N_T06_R2,rim15KO_N_T06_R2,WT_N_T16_R2,rim15KO_N_T16_R2,WT_N_T30_R2,rim15KO_N_T30_R2,WT_P_T06_R2,rim15KO_P_T06_R2,WT_P_T16_R2,rim15KO_P_T16_R2,WT_P_T30_R2,rim15KO_P_T30_R2,WT_N_T00_R2,rim15KO_N_T00_R2,WT_P_T00_R2,rim15KO_P_T00_R2
P05030,PMA1,0.84109,0.96672,1.0518,1.1201,0.80616,0.72426,0.82951,0.83363,0.65992,0.54386,0.51681,0.59783,0.59928,0.54207,0.64696,0.62364,1.0831,1.0493,1.184,1.1877,1.5386,1.0209,1.1499,1.4265,1.6911,1.2504,2.2597,1.3518,1.1971,1.1625,1.298,1.3543,0.95476,0.82181,1.0824,1.1716,0.78598,0.83037,0.99595,0.88876,0.84109,0.96672,1.0518,1.1201,0.84109,0.96672,1.0518,1.1201,0.99328,0.93089,0.67113,0.80888,0.63979,0.62896,0.5879,0.50404,0.95195,0.97395,1.1223,1.1405,1.538,1.2607,1.1522,1.2297,1.0389,1.0477,1.0501,1.0305,0.99328,0.93089,0.93089,0.99328
P29952,PMI40,1.0147,0.95532,0.99293,0.94659,1.2466,1.0468,1.0736,1.0109,1.5686,1.128,1.0876,1.003,1.0158,0.94919,1.0338,0.90275,1.0608,1.02,0.95923,1.0097,1.0943,0.98748,1.1343,1.0047,1.2169,0.96638,1.0716,1.0248,1.0234,0.97854,0.97958,0.96813,0.82005,0.86428,0.93987,0.87848,0.67253,0.71856,0.72011,0.69169,1.0147,0.95532,0.99293,0.94659,1.0147,0.95532,0.99293,0.94659,1.0466,0.99394,1.0257,1.1934,1.1177,1.2866,1.0991,1.0089,1.0663,0.99247,1.051,1.219,1.0521,1.0295,0.95918,1.0121,0.85177,0.9015,0.67766,0.72607,1.0466,0.99394,0.99394,1.0466
P13586,PMR1,0.84483,0.99088,0.94456,1.117,0.90338,0.8848,0.74992,1.2879,0.70252,1.07,1.1475,1.2828,0.8504,1.0021,0.71519,0.92963,0.67492,0.93338,0.94562,1.2792,NA,NA,0.4017,1.2051,0.83195,1.3213,NA,NA,0.75455,0.80289,0.7509,0.9723,0.57206,0.50938,0.64308,0.89476,0.87618,0.64377,0.60285,0.88461,0.84483,0.99088,0.94456,1.117,0.84483,0.99088,0.94456,1.117,0.97794,0.94886,0.94189,0.9064,1.134,1.1213,1.0493,0.92669,1.0465,0.66658,NA,NA,NA,NA,0.78517,0.76478,0.90699,0.72988,0.84205,0.79849,0.97794,0.94886,0.94886,0.97794
P33775,PMT1,0.76714,0.95131,0.89874,1.0893,0.87827,0.7033,0.7469,0.94228,0.83728,0.85481,0.68655,0.85793,0.84057,0.87728,0.88587,0.89683,0.97305,0.78874,0.82775,1.0196,NA,NA,0.81118,1.0374,0.5509,0.23996,0.68895,1.1298,0.83109,0.69653,0.72677,0.86223,0.51772,0.41033,0.5913,0.65924,0.59761,0.39516,0.52295,0.56938,0.76714,0.95131,0.89874,1.0893,0.76714,0.95131,0.89874,1.0893,0.87554,0.86482,0.86584,0.92046,0.93211,0.79631,0.76742,0.76456,0.92172,0.9793,1.242,0.90544,1.1229,0.43431,0.89324,0.77513,0.74756,0.6515,0.53569,0.58278,0.87554,0.86482,0.86482,0.87554
P31382,PMT2,0.80722,0.95407,0.93538,1.0212,0.97102,0.79074,0.75065,0.95235,0.88873,0.98165,1.0731,0.92152,1.0038,0.87923,1.2411,0.85406,1.0369,0.9345,0.97527,0.9845,0.8491,0.78696,0.66498,0.98642,NA,NA,1.643,0.84588,0.79971,0.68762,0.84527,0.89173,0.54713,0.49128,0.7131,0.859,0.72109,0.44071,0.49435,0.61013,0.80722,0.95407,0.93538,1.0212,0.80722,0.95407,0.93538,1.0212,0.88536,0.95372,0.89285,0.9591,0.92352,1.0663,0.80376,1.1377,0.86408,1.0863,0.876,0.56889,0.91571,0.66846,0.966,0.69164,0.82049,0.63005,0.61003,0.56631,0.88536,0.95372,0.95372,0.88536
P46971,PMT4,0.91509,0.85901,0.90222,0.94037,1.2347,0.7648,1.2722,1.0411,1.3681,1.0989,1.2839,0.99186,1.3315,1.1872,1.1278,0.97319,1.504,0.65079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2108,0.66533,1.7129,0.95059,NA,NA,NA,NA,NA,NA,NA,NA,0.91509,0.85901,0.90222,0.94037,0.91509,0.85901,0.90222,0.94037,0.80077,1.2041,0.82665,1.0646,0.96352,1.2414,0.83681,1.2762,NA,NA,NA,NA,NA,NA,0.88413,0.72818,0.64299,0.69286,NA,NA,0.80077,1.2041,1.2041,0.80077
P53184,PNC1,0.69381,1.0251,0.91852,1.0239,1.3285,1.5765,1.5707,1.696,1.7126,1.7621,1.7536,1.7821,1.6344,1.8189,1.7691,1.7652,1.1853,1.24,1.0601,1.1386,NA,NA,0.81366,0.4852,NA,NA,NA,NA,1.2142,1.6927,1.2087,1.9941,1.1323,1.7605,1.0744,1.6562,1.0913,1.7114,1.0612,1.6293,0.69381,1.0251,0.91852,1.0239,0.69381,1.0251,0.91852,1.0239,0.96411,0.96607,1.022,1.7787,0.94579,1.9287,1.4492,3.1017,1.0035,1.4262,NA,NA,NA,NA,1.7453,1.2403,1.8152,1.0159,2.0322,1.0175,0.96411,0.96607,0.96607,0.96411
Q04636,POB3,1.0485,0.97454,1.097,0.98147,1.3483,1.0439,1.1857,1.0436,1.4098,1.2427,1.3954,1.0883,1.6066,1.0932,1.2989,1.0636,1.4216,1.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1264,1.1145,1.138,1.1104,1.0242,0.9748,0.73454,0.92354,0.87589,1.1594,1.0727,0.99065,1.0485,0.97454,1.097,0.98147,1.0485,0.97454,1.097,0.98147,0.99441,1.0058,1.1067,1.1939,1.3155,1.2905,1.132,1.2235,1.4312,1.7759,NA,NA,NA,NA,1.2849,1.0403,0.79806,1.142,0.91318,1.0547,0.99441,1.0058,1.0058,0.99441
P13382,POL1,0.95857,1.0107,0.91557,1.0553,1.2116,0.75323,0.77816,1.4009,1.0987,0.75499,0.62422,0.53156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79104,0.7356,0.65332,0.70148,NA,NA,0.49516,0.52346,NA,NA,NA,NA,0.95857,1.0107,0.91557,1.0553,0.95857,1.0107,0.91557,1.0553,0.91916,1.2964,0.99566,0.91679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81184,0.61181,NA,NA,NA,NA,0.91916,1.2964,1.2964,0.91916
P15873,POL30,1.0348,0.95979,0.95667,0.92768,0.9877,1.0622,1.21,1.0009,0.91552,1.0485,1.4595,0.95524,0.92546,1.0006,1.2221,0.9983,1.1405,0.83397,1.5096,0.83738,1.9418,0.93068,1.2308,1.08,NA,NA,NA,NA,0.968,0.94641,0.89364,0.90896,0.84072,0.88255,0.88163,0.86599,0.83587,0.79797,0.78327,0.7894,1.0348,0.95979,0.95667,0.92768,1.0348,0.95979,0.95667,0.92768,1.0261,1.0286,1.0224,1.0085,1.1912,1.3476,1.0482,1.0904,0.98643,1.0401,NA,NA,0.90609,0.99504,0.90918,0.93543,0.91162,0.96866,0.84087,0.90514,1.0261,1.0286,1.0286,1.0261
P39685,POM152,0.83031,0.96611,0.88426,1.0376,1.0116,1.0051,0.82872,1.02,1.2425,1.1256,1.1298,1.1581,1.2995,1.4409,1.0468,1.0202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99618,1.0696,1.0088,1.037,0.81257,0.76409,0.95313,0.99006,0.94155,0.93671,0.84126,1.0679,0.83031,0.96611,0.88426,1.0376,0.83031,0.96611,0.88426,1.0376,0.89083,0.92646,1.0623,1.1065,1.138,1.4401,1.3858,1.5565,NA,NA,NA,NA,NA,NA,1.0475,0.86517,1.009,0.73233,0.94796,0.81057,0.89083,0.92646,0.92646,0.89083
