Protein IDs,Protein names,Gene names,Fasta headers,nutrient,time,pvalue,qvalue,log2FC
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,P,T00,0.032367835,0.163601077,-0.134238003
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,P,T06,0.653509056,0.773807411,0.025956113
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,P,T16,0.813422135,0.885648118,-0.01273198
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,P,T30,0.903323885,0.942620193,0.009859368
O94742,26S proteasome complex subunit SEM1,SEM1,sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1,C,T00,0.088178191,0.26878095,-0.180896667
O94742,26S proteasome complex subunit SEM1,SEM1,sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1,C,T06,0.259334575,0.443286565,0.119661667
O94742,26S proteasome complex subunit SEM1,SEM1,sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1,C,T30,0.807823034,0.882473854,0.0597
O94742,26S proteasome complex subunit SEM1,SEM1,sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1,P,T00,0.23026046,0.415942727,-0.137783345
O94742,26S proteasome complex subunit SEM1,SEM1,sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1,P,T06,0.119887474,0.30688848,0.290418379
O94742,26S proteasome complex subunit SEM1,SEM1,sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1,P,T16,0.178575963,0.363232752,0.330836028
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,C,T00,0.83852538,0.900497259,0.018356667
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,C,T06,0.002239322,0.057924671,-2.175518333
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,C,T16,3.79E-04,0.035192746,-5.147966667
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,P,T00,0.433998042,0.602359694,0.094452098
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,P,T06,0.037584957,0.176995172,-0.374526036
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,P,T16,0.022902111,0.136896422,-0.387986897
P00044,Cytochrome c iso-1,CYC1,sp|P00044|CYC1_YEAST Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2,P,T30,0.005336469,0.075458215,-0.395799019
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,C,T00,0.805005746,0.880671887,-0.03533
P00128,Cytochrome b-c1 complex subunit 7,QCR7,sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2,C,T06,0.14840792,0.331564518,-0.46405
