orf,gene,ThisStudy_up,ThisStudy_down,Paulo_q_up,Paulo_log_up
YJL074C,NA,0,0,0,1
YJL080C,SCP160,0,0,0,1
YJL098W,NA,0,0,0,1
YJL122W,NA,0,0,0,1
YJL125C,NA,0,0,0,1
YJL136C,RPS21B,0,0,0,1
YJL177W,RPL17B,0,0,0,1
YJL186W,NA,0,0,0,1
YJL190C,NA,0,0,0,1
YJL200C,ACO2,0,0,0,1
YJR031C,NA,0,0,0,1
YJR070C,LIA1,0,0,0,1
YKL006W,RPL14A,0,0,0,1
YKL009W,MRT4,0,0,0,1
YKL014C,URB1,0,0,0,1
YKL027W,NA,0,0,0,1
YKL033W-A,YKL033W-A,0,0,0,1
YKL120W,NA,0,0,0,1
YKL143W,NA,0,0,0,1
YKL165C,MCD4,0,0,0,1
YKL172W,EBP2,0,0,0,1
YKL180W,RPL17A,0,0,0,1
YKL205W,NA,0,0,0,1
YKL209C,NA,0,0,0,1
YKL216W,NA,0,0,0,1
YKR057W,RPS21A,0,0,0,1
YKR071C,NA,0,0,0,1
YKR072C,NA,0,0,0,1
YKR090W,NA,0,0,0,1
YKR093W,NA,0,0,0,1
YLL008W,DRS1,0,0,0,1
YLL013C,PUF3,0,0,0,1
YLL015W,NA,0,0,0,1
YLL034C,NA,0,0,0,1
YLL048C,YBT1,0,0,0,1
YLR017W,NA,0,0,0,1
YLR032W,NA,0,0,0,1
YLR056W,ERG3,0,0,0,1
YLR061W,RPL22A,0,0,0,1
YLR075W,RPL10,0,0,0,1
YLR083C,NA,0,0,0,1
YLR106C,MDN1,0,0,0,1
YLR126C,NA,0,0,0,1
YLR180W,SAM1,0,0,0,1
YLR185W,NA,0,0,0,1
YLR214W,NA,0,0,0,1
YLR274W,MCM5,0,0,0,1
YLR276C,DBP9,0,0,0,1
YLR309C,NA,0,0,0,1
YLR340W,RPP0,0,0,0,1
YLR367W,NA,0,0,0,1
YLR378C,NA,0,0,0,1
YLR384C,IKI3,0,0,0,1
YLR401C,DUS3,0,0,0,1
YLR410W,VIP1,0,0,0,1
YLR413W,YLR413W,0,0,0,1
YLR430W,NA,0,0,0,1
YLR441C,RPS1A,0,0,0,1
YLR452C,NA,0,0,0,1
YML010W,SPT5,0,0,0,1
YML029W,NA,0,0,0,1
YML031W,NA,0,0,0,1
YML045W,NA,0,0,0,1
YML056C,IMD4,0,0,0,1
YML059C,NA,0,0,0,1
YML063W,RPS1B,0,0,0,1
YML067C,NA,0,0,0,1
YML071C,NA,0,0,0,1
YML073C,RPL6A,0,0,0,1
YML093W,UTP14,0,0,0,1
YML103C,NA,0,0,0,1
YML111W,NA,0,0,0,1
YML123C,NA,0,0,0,1
YMR011W,NA,0,0,0,1
YMR015C,ERG5,0,0,0,1
