Protein IDs,comparison,normalized_ratio_mean,normalized_ratio_rep1,normalized_ratio_rep2
sp|P13188|SYQ_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P13298|PYRE_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P13382|DPOA_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P13517|CAPZB_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P13663|DHAS_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P14020|DPM1_YEAST,ProtoWT_H_vs_AuxoWT_H,0.69544,0.69544,NA
sp|P14065|GCY1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P14120|RL30_YEAST,ProtoWT_H_vs_AuxoWT_H,169.09,NA,112.64
sp|P14126|RL3_YEAST,ProtoWT_H_vs_AuxoWT_H,14.581,8.9513,178.52
sp|P14127|RS17B_YEAST;sp|P02407|RS17A_YEAST,ProtoWT_H_vs_AuxoWT_H,4.9009,2.5179,NA
sp|P14540|ALF_YEAST,ProtoWT_H_vs_AuxoWT_H,14.921,2.4204,68.868
sp|P14742|GFA1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P14743|NMT_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P14747|PP2B2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P14832|CYPH_YEAST,ProtoWT_H_vs_AuxoWT_H,6.6059,2.1397,8.309
sp|P14843|AROF_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P14904|AMPL_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P14907|NSP1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P15019|TAL1_YEAST,ProtoWT_H_vs_AuxoWT_H,19.268,4.2072,19.53
sp|P15108|HSC82_YEAST,ProtoWT_H_vs_AuxoWT_H,7.9469,0.97025,10.928
sp|P15180|SYKC_YEAST,ProtoWT_H_vs_AuxoWT_H,60.139,NA,NA
sp|P15303|SEC23_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P15454|KGUA_YEAST,ProtoWT_H_vs_AuxoWT_H,0.22945,NA,NA
sp|P15496|IDI1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P15565|TRM1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
