Protein IDs,comparison,normalized_ratio_mean,normalized_ratio_rep1,normalized_ratio_rep2
sp|P38720|6PGD1_YEAST;sp|P53319|6PGD2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38736|GOSR1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38737|ECM29_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38754|RL14B_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38755|OSH7_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38758|TDA3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38759|VPS29_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38764|RPN1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38765|YHI9_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38774|DOG1_YEAST;sp|P38773|DOG2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38777|FSH1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38779|CIC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38786|RPP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38787|PANE_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38788|SSZ1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38791|DHYS_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38792|RRP4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38793|TRM5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38795|NADE_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38797|PP2C7_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38805|RPF1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38809|YHP7_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38810|SFB3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38817|GGA2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38820|UBA4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38821|DNPEP_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38829|YHS2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38837|NSG1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38840|ARO9_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38841|YHT8_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38845|CRP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38853|KEL1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38858|SOL3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38861|NMD3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38869|SVP26_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38874|ELP5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38879|NACA_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38882|UTP9_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38883|RIX1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38884|AIM18_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38886|RPN10_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38891|BCA1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38903|2A5D_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38910|CH10_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38911|FKBP3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38912|IF1A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38915|SPT8_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38930|CSK2C_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38934|BFR1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38961|RRP8_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38962|TVP23_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38968|SEC31_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38971|ALP1_YEAST;sp|P32487|LYP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38972|PUR4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38985|SRP14_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38986|ASPG1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38988|GGC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P38999|LYS9_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39004|HXT7_YEAST;sp|P39003|HXT6_YEAST;sp|P53631|HXT17_YEAST;sp|P39924|HXT13_YEAST;sp|P54854|HXT15_YEAST;sp|P47185|HXT16_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39006|PSD1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39007|STT3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39013|END3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39015|STM1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39076|TCPB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39077|TCPG_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39078|TCPD_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39079|TCPZ_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39101|CAJ1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39103|COX14_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39107|MNN9_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39109|YCFI_YEAST;sp|P0CE69|YK104_YEAST;sp|P14772|BPT1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39111|VATF_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39112|DSS1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39516|RS14B_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39517|DHH1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39522|ILV3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39533|ACON2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39548|YAJ8_YEAST;sp|P39547|UIP3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39676|FHP_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39683|NPT1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39704|ERP2_YEAST;sp|Q12450|ERP4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39705|NUP60_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39714|BDH1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39715|ECM1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39719|FLC2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39721|AIM2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39727|ERV46_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39729|RBG1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39730|IF2P_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39742|SEC72_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39743|RV167_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39744|NOC2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39926|SSO2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39929|SNF7_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39931|SS120_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39935|IF4F1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39936|IF4F2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39939|RS26B_YEAST;sp|P39938|RS26A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39940|RSP5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39954|SAHH_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39958|GDI1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39960|BEM2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39966|PP2C2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39968|VAC8_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39969|BOI2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39976|DLD3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39984|HAT2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39985|DPO5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39986|ATC6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39990|SNU13_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P39998|EDC3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40005|PFD2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40006|IRC22_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40008|FMP52_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40010|NUG1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40012|PPOX_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40016|RPN3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40018|RSMB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40019|CHZ1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40024|ARB1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40029|MSRA_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40030|ERG28_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40032|TPA1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40037|HMF1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40038|PCL6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40040|THO1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40045|TDA2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40046|VTC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40047|ALDH5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40053|AIM9_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40054|SERA_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40055|UTP7_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40069|IMB4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40070|LSM4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40075|SCS2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40079|LCP5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40081|MGDP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40086|COX15_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40087|DDI1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40089|LSM5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40093|YEY6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40098|FMP10_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40101|YE16_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40106|GPP2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40150|SSB2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40157|VID27_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40159|YNU8_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40160|RIO2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40161|RT106_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40185|MMF1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40202|CCS1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40210|SIP5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40212|RL13B_YEAST;sp|Q12690|RL13A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40215|NDH1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40217|EIF3I_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40302|PSA6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40312|CYB5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40318|DOA10_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40319|ELO3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40327|PRS4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40348|RFC2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40357|SEC9_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40368|NUP82_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40413|TCPE_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40414|TPM2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40422|RPAB4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40459|PANC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40462|TM108_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40467|ASG1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40471|AYR1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40477|NU159_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40480|HOS4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40482|SEC24_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40483|YIK8_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40484|MOB1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40485|SLM1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40495|LYS12_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40506|PPCS_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40509|COPE_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40510|SER33_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40513|MAM33_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40516|EFM4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40517|YRB2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40518|ARPC5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40528|SYG1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40529|AGE2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40531|GVP36_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40533|TED1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40540|EMC5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40551|YIB2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40553|DOT5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40557|EPS1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40561|SGN1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40564|DJP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40579|YIV5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40580|BZRD_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40581|GPX3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40582|GST1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40693|RLP7_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40825|SYA_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40850|MKT1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40957|MAD1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40958|MAD2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40961|PHB1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40970|LCB2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40986|CDC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P40991|NOP2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41056|RL33B_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41057|RS29A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41058|RS29B_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41277|GPP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41338|THIL_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41543|OST1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41697|BUD6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41734|IAH1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41805|RL10_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41807|VATH_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41810|COPB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41811|COPB2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41818|GLC8_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41819|DIM1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41835|THI6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41895|T2FA_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41911|GPD2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41920|YRB1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41921|GSHR_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P41940|MPG1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P42842|EMW1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P42846|KRI1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P42935|ELP2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P42940|ETFB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P42941|SERB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P42942|YG4I_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P42943|TCPH_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P42945|UTP10_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P42949|TIM16_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43123|UAP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43535|GCN20_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43555|EMP47_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43558|OTU1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43561|FET5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43569|CAF16_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43582|WWM1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43585|VTC2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43586|LOC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43587|YPI1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43588|RPN11_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43589|SAD1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43590|YFH6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43593|UBP6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43594|MIC19_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43597|YFI6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43603|LSB3_YEAST;sp|P32793|YSC84_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43609|RSC8_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43612|SA155_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43613|ERJ5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43616|DUG1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43619|NADC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43621|COPD_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43625|YFM7_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43638|MHP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P43639|CSK2B_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P45818|ROK1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P45976|FIP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P45978|SCD6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46367|ALDH4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46654|RSSA2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46655|SYEC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46669|RPA43_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46672|ARC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46673|NUP85_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46677|TAF1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46680|AIP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46681|DLD2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46683|YAR1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46951|YPP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46956|PHO86_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46959|TRM61_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46964|OST2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46965|SPC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46969|RPE_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46982|MNN5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46984|GON7_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46985|MNN11_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46989|ATG27_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46990|RL17B_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P46992|YJR1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47001|CIS3_YEAST;sp|P46999|PIR5_YEAST;sp|Q03180|PIR3_YEAST;sp|Q03178|PIR1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47006|RPA34_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47008|SFH5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47018|MTC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47031|IML2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47035|NET1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47039|BNA3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47044|YJF5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47045|TIM54_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47047|MTR4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47054|NU192_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47068|BBC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47075|VTC4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47077|NOP9_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47079|TCPQ_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47083|MPP10_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47096|3HAO_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47104|RAV1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47108|URB2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47117|ARP3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47119|ITPA_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47120|DOHH_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P47122|GPN1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
