Protein IDs,Gene names,C_WT_module,C_WT_module_description,C_rim15_module,C_rim15_module_description,P_WT_module,P_WT_module_description,P_rim15_module,P_rim15_module_description
P40471,AYR1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38891,BAT1,NA,NA,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P47176,BAT2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P47068,BBC1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
P07278,BCY1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P39714,BDH1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P39960,BEM2,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P38934,BFR1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q06631,BFR2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P29311,BMH1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P34730,BMH2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P47096,BNA1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),NA,NA
P47039,BNA3,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q07457,BRE1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P40506,CAB2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P29547,CAM1,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA,NA,NA
P28495,CAP1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),turquoise,Downregulated during phosphorus starvation
P13517,CAP2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P00812,CAR1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P07991,CAR2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P17106,CBF1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P33322,CBF5,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38626,CBR1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P00431,CCP1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P40202,CCS1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39076,CCT2,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39077,CCT3,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39078,CCT4,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40413,CCT5,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39079,CCT6,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P42943,CCT7,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P47079,CCT8,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32458,CDC11,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P32468,CDC12,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P00549,CDC19,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P06785,CDC21,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P00546,CDC28,NA,NA,unassigned,No coherent co-expression pattern,NA,NA,NA,NA
P06704,CDC31,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P07260,CDC33,unassigned,No coherent co-expression pattern,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P06101,CDC37,unassigned,No coherent co-expression pattern,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P25655,CDC39,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P19073,CDC42,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P25694,CDC48,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
Q00362,CDC55,NA,NA,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P26637,CDC60,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
O13297,CET1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P22137,CHC1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
Q12114,CHS5,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),NA,NA
P42940,CIR1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
Q08822,CIR2,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P00890,CIT1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P20485,CKI1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P17891,CLC1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
Q03690,CLU1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P06787,CMD1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
Q03048,COF1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P53622,COP1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
P07256,COR1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q01519,COX12,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P04037,COX4,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P00427,COX6,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P34237,COY1,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
P03965,CPA2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
P14832,CPR1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P25719,CPR3,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P35176,CPR5,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53691,CPR6,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P27614,CPS1,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P30822,CRM1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
Q06440,CRN1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38845,CRP1,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
Q06705,CSR1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53008,CWH41,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
P40312,CYB5,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P31373,CYS3,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P32582,CYS4,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P07143,CYT1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P54838,DAK1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P24783,DBP2,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P20447,DBP3,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P20449,DBP5,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
Q06218,DBP9,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P53550,DCP2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
Q06151,DCS1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P40087,DDI1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P18899,DDR48,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P06634,DED1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38707,DED81,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39517,DHH1,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32891,DLD1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P46681,DLD2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,unassigned,No coherent co-expression pattern
P39976,DLD3,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P54861,DNM1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P36037,DOA1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38773;P38774,DOG2,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P32469,DPH5,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P04802,DPS1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53753,DSE4,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
P07273,DST1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
P43616,DUG1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P38791,DYS1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38248,ECM33,NA,NA,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P34216,EDE1,unassigned,No coherent co-expression pattern,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32471,EFB1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32324,EFT1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38879,EGD2,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38295,EHT1,blue,Downregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
Q05050,EIS1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P25574,EMC1,NA,NA,unassigned,No coherent co-expression pattern,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P53073,EMC4,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q04409,EMI2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P32803,EMP24,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P43555,EMP47,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P00924,ENO1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P00925,ENO2,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P47160,ENT3,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q04660,ERB1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P32476,ERG1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),turquoise,Downregulated during phosphorus starvation
P41338,ERG10,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P07277,ERG12,NA,NA,blue,Downregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P54839,ERG13,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32352,ERG2,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P08524,ERG20,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53199,ERG26,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q12452,ERG27,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P25087,ERG6,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P24521,ERG8,NA,NA,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P29704,ERG9,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q05359,ERP1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P38071,ETR1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q08421,ETT1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P23776,EXG1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P30624,FAA1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P47912,FAA4,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P07149,FAS1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P19097,FAS2,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P14540,FBA1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q12178,FCY1,blue,Downregulated during carbon starvation,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40515,FIS1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P38631,FKS1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53889,FMP41,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P20081,FPR1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P38911,FPR3,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q07825,FRA1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P32614,FRD1,NA,NA,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P15624,FRS1,NA,NA,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P15625,FRS2,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q12029,FSF1,unassigned,No coherent co-expression pattern,unassigned,No coherent co-expression pattern,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P08417,FUM1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P39730,FUN12,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P18562,FUR1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P28007,GAR1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P22146,GAS1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
Q08193,GAS5,unassigned,No coherent co-expression pattern,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P09032,GCD1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32481,GCD11,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32501,GCD6,blue,Downregulated during carbon starvation,NA,NA,NA,NA,NA,NA
P33892,GCN1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P43535,GCN20,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P35197,GCS1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P48015,GCV1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P49095,GCV2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q06625,GDB1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P07262,GDH1,unassigned,No coherent co-expression pattern,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P33327,GDH2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P39958,GDI1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
Q12154,GET3,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P14742,GFA1,NA,NA,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38817,GGA2,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53900,GIM3,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53849,GIS2,blue,Downregulated during carbon starvation,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32775,GLC3,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P32598,GLC7,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P17709,GLK1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P32288,GLN1,NA,NA,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P13188,GLN4,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P50107,GLO1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q05584,GLO2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
P38682,GLO3,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P41921,GLR1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q12680,GLT1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P38720,GND1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P53839,GOR1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q00055,GPD1,NA,NA,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P41911,GPD2,NA,NA,NA,NA,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P06738,GPH1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P00950,GPM1,NA,NA,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P41277,GPP1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P40106,GPP2,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P36148,GPT2,NA,NA,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
Q12068,GRE2,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P38715,GRE3,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P38088,GRS1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P25373,GRX1,NA,NA,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P17695,GRX2,turquoise,Upregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
