orf,gene,log2FC_thisStudy,paulo_pvalue,log2FC_Paulo,paulo_category
YJR148W,BAT2,0.5118556032893637,NA,NA,detected_only
YER177W,BMH1,0.5115027794035409,NA,NA,detected_only
YBR106W,PHO88,-0.5099696166629413,NA,NA,detected_only
YHR117W,TOM71,0.5078868682338609,NA,NA,detected_only
YOR298C-A,MBF1,-0.5053556408857824,NA,NA,detected_only
YOR014W,RTS1,-0.5045354780926992,NA,NA,detected_only
YOR086C,TCB1,0.5045029455476687,NA,NA,detected_only
YNR018W,RCF2,-0.49297790544758857,NA,NA,detected_only
YGL252C,RTG2,0.48786553804400545,NA,NA,detected_only
YJL001W,PRE3,0.4867303362733746,NA,NA,detected_only
YDR064W,RPS13,-0.4847813869410081,NA,NA,detected_only
YGL049C,TIF4632,-0.4838109503266074,NA,NA,detected_only
YDL125C,HNT1,-0.48107525330680934,NA,NA,detected_only
YDR516C,EMI2,0.481067437954347,NA,NA,detected_only
YKL013C,ARC19,0.4736082661119904,NA,NA,detected_only
YDL078C,MDH3,0.4714223061256707,NA,NA,detected_only
YER031C,YPT31,-0.4712132774013382,NA,NA,detected_only
YJL068C,NA,0.4690642853063916,NA,NA,detected_only
YBR286W,APE3,0.46903379895611264,NA,NA,detected_only
YKL151C,NA,0.46856931925625134,NA,NA,detected_only
YDL147W,RPN5,0.46636161009662547,NA,NA,detected_only
YHR037W,PUT2,0.4616029073174462,NA,NA,detected_only
YHR132C,ECM14,0.4607138033557572,NA,NA,detected_only
YCL035C,GRX1,0.46043328581084136,NA,NA,detected_only
YNL037C,IDH1,0.4569686423034046,NA,NA,detected_only
YCR004C,YCP4,0.4549765646434739,NA,NA,detected_only
YOR184W,SER1,0.45418115560074734,NA,NA,detected_only
YHR146W,CRP1,0.45210442521603766,NA,NA,detected_only
YKL157W,APE2,0.4510084320735312,NA,NA,detected_only
YER073W,ALD5,0.44389801635189796,NA,NA,detected_only
YLR025W,SNF7,-0.4399913193548085,NA,NA,detected_only
YIL115C,NUP159,0.43784054413408835,NA,NA,detected_only
YKL204W,EAP1,-0.4376109626476328,NA,NA,detected_only
YDL140C,RPO21,-0.4361628255585378,NA,NA,detected_only
YER048C,CAJ1,0.4330101380152183,NA,NA,detected_only
YML004C,GLO1,0.4305085620748552,NA,NA,detected_only
